atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station,yelp_id
11.0,4.0,6.0,11.0,3.0,19.0,5.0,3.0,6.0,,4.0,11.0,,,2.0,,,8XH25e94Tf8UNzSr-OWHeQ
3.0,,3.0,2.0,,12.0,2.0,,,,,3.0,,,,,,8oofaDz2nL0gzvAXaLbR4w
18.0,10.0,14.0,14.0,2.0,25.0,10.0,1.0,5.0,2.0,1.0,11.0,1.0,1.0,1.0,,,9-KBO2jGuvMCrM88ysDLTA
10.0,1.0,2.0,14.0,,7.0,7.0,,12.0,,,11.0,,,1.0,,,9Jiax4wZ94ZmMcMzmpdvJA
10.0,6.0,5.0,6.0,,2.0,3.0,1.0,6.0,1.0,,1.0,3.0,,,,,9LPokpPIiNCC5ilJXwX_rQ
3.0,1.0,4.0,6.0,3.0,4.0,3.0,1.0,2.0,,1.0,21.0,,,,,,9RH1xBIMMAZXg9s_XW_sLg
11.0,7.0,2.0,19.0,1.0,16.0,3.0,2.0,8.0,,2.0,8.0,,,,,,9jlK2GUXrk40TbN1yTSMJw
60.0,60.0,49.0,44.0,8.0,26.0,60.0,2.0,22.0,1.0,12.0,52.0,7.0,4.0,1.0,,,9m678PeuzwYamIf6sysUHg
16.0,10.0,14.0,10.0,4.0,25.0,13.0,,10.0,,,25.0,,1.0,1.0,,,9qCjkJvgnpzOjKLodDEMxw
28.0,16.0,44.0,37.0,2.0,25.0,30.0,,20.0,3.0,3.0,37.0,4.0,2.0,,,,AG1ETqbneinRRJUeA8PfSA
43.0,23.0,39.0,60.0,5.0,16.0,43.0,,23.0,1.0,6.0,34.0,14.0,1.0,1.0,,1.0,AGR_kBvN__I7aTl0rBywAg
6.0,1.0,3.0,1.0,,17.0,3.0,2.0,4.0,,,1.0,2.0,,,,,B0ZTztL-vjgm2Tc1ZxSbHg
7.0,3.0,2.0,5.0,,13.0,3.0,2.0,1.0,,,8.0,,,,,,BJXadWOLyGXzly7Iqx4W_g
12.0,5.0,17.0,5.0,2.0,23.0,13.0,1.0,10.0,1.0,1.0,20.0,1.0,,,,,C7FKNwSUlbUinT9cRSLXHA
11.0,5.0,8.0,15.0,,2.0,9.0,,6.0,,9.0,9.0,1.0,1.0,,,,CB0KEBdcItjSDMOkcv7QtA
11.0,3.0,1.0,15.0,,24.0,8.0,4.0,2.0,,,7.0,,1.0,2.0,,,CRV5pbiOC_EXCqQrRZ98BA
60.0,51.0,60.0,28.0,3.0,21.0,45.0,1.0,15.0,2.0,12.0,13.0,8.0,2.0,,,,CWqL2TEq_V9tipCj-X-GoQ
5.0,2.0,1.0,9.0,,17.0,2.0,,1.0,,,1.0,1.0,,2.0,,,CmdVh1cYn536aa_1gjABDA
41.0,22.0,40.0,46.0,6.0,23.0,58.0,1.0,15.0,3.0,3.0,35.0,5.0,3.0,3.0,,1.0,DImi8qeCP-OUaLA8L2QR6A
12.0,4.0,10.0,15.0,,,8.0,,5.0,,3.0,8.0,2.0,1.0,1.0,,,DkuCJwpeiGhW41EEcOKweg
5.0,1.0,2.0,5.0,1.0,15.0,3.0,5.0,6.0,,,6.0,,,,,,DrQgIMe9fKfNvvHoXO8Y0w
13.0,2.0,23.0,28.0,5.0,14.0,20.0,,12.0,1.0,1.0,27.0,5.0,,1.0,,,E2De90kZUtXIS2dy-vn1yg
3.0,1.0,9.0,3.0,,5.0,6.0,,6.0,1.0,,1.0,5.0,1.0,1.0,,,E6nIsqfg-1Qsp94wkDHzsg
15.0,8.0,20.0,18.0,1.0,25.0,18.0,,7.0,,5.0,11.0,6.0,1.0,2.0,,1.0,EYMC8NHn6U-4WpLo54dQtw
11.0,1.0,12.0,14.0,,16.0,10.0,1.0,10.0,,,14.0,,,1.0,,,FioFvBhgVPV2dZW3mxjxQQ
19.0,11.0,15.0,19.0,2.0,24.0,10.0,1.0,5.0,2.0,1.0,10.0,1.0,1.0,1.0,,,FmAIHFqUBNkCw3YBCRQLmQ
16.0,8.0,24.0,22.0,3.0,29.0,9.0,,6.0,1.0,,16.0,1.0,1.0,3.0,,1.0,G2qQ72XEMVW4A9SNDHGwOg
17.0,10.0,19.0,9.0,5.0,24.0,15.0,1.0,9.0,1.0,1.0,22.0,1.0,1.0,1.0,,,GLP0_Rs2y4Q0Gxk7r1dddQ
17.0,9.0,27.0,16.0,5.0,31.0,10.0,1.0,8.0,1.0,3.0,19.0,2.0,,3.0,,,GwwX5JjuOVpw0ZlBvCqEOg
10.0,4.0,6.0,11.0,3.0,18.0,5.0,3.0,6.0,,4.0,11.0,,,2.0,,,HAF1_8TLXzea-2aXidpKNQ
13.0,4.0,5.0,12.0,5.0,18.0,8.0,3.0,7.0,,1.0,16.0,2.0,1.0,,,1.0,HU2iYyCPkmP1gxuKYoiKNg
43.0,17.0,60.0,30.0,3.0,15.0,36.0,1.0,13.0,,9.0,16.0,7.0,2.0,1.0,,,Hnx34LxtfW4XV0gZ18zMBg
17.0,10.0,18.0,9.0,5.0,29.0,14.0,1.0,10.0,,1.0,23.0,1.0,1.0,1.0,,,HxegWRjhi7m73mXRI8qQIg
38.0,15.0,31.0,48.0,7.0,16.0,43.0,,19.0,1.0,5.0,31.0,9.0,,2.0,,,I07zWZ_JGqVAp3ZPxIpDYg
18.0,10.0,5.0,32.0,2.0,9.0,8.0,3.0,5.0,,,5.0,1.0,,,,1.0,IFamp2iDylLbgkxN8WaG0A
23.0,7.0,2.0,13.0,1.0,18.0,3.0,3.0,5.0,,1.0,6.0,1.0,,,,,IGbKO5xKMZrTsPtmDYaLwQ
55.0,27.0,31.0,22.0,5.0,12.0,40.0,,16.0,,11.0,40.0,4.0,3.0,1.0,,,J1uidHIL7nE_noUuvFXj0A
34.0,12.0,57.0,27.0,3.0,17.0,29.0,1.0,13.0,,6.0,13.0,4.0,1.0,1.0,,,J4UsOYwRprbJXIVB_NcldQ
15.0,5.0,11.0,28.0,3.0,20.0,3.0,1.0,10.0,1.0,3.0,8.0,1.0,,2.0,,1.0,JHYOusJBXe4wW33oJoEtzw
33.0,16.0,40.0,60.0,6.0,14.0,46.0,,19.0,1.0,7.0,29.0,13.0,,1.0,,,JIBJ_1aH_gHgbLnAIX5hEw
4.0,1.0,4.0,6.0,3.0,4.0,4.0,1.0,2.0,,1.0,20.0,,,,,,JZPPsLYmLCc9uwuolor7cQ
