name,latitude,longitude,zipcode,city,state,price,rating,review_count,category_x,Accept_Credit_Card,Alcohol,Outdoor_Seating,Parking,Take_out,Takes_Reservations,WIFI,Ambience,Attire,Noise_Level,atm,bank,bar,beauty_salon,bus_station,cafe,gym,school,White population,Black population,American Indian population,Asian population,Hispanic or Latino population,High school or higher,Graduate or professional degree,Unemployed,average_price,review_count_binned
Moshi Moshi,37.76318,-122.38908,94107,San Francisco,CA,$$,3.5,638,"sushi,japanese,cocktailbars",1,Full Bar,1,Street,1,1,0,Casual,Casual,2,3.0,6.0,7.0,1.0,14.0,9.0,1.0,6.0,0.48344237544036234,0.05723871833584969,0.002315047810770005,0.21436000671028352,0.09263546384834759,0.946,0.335,0.042,20,large Number of Reviews
Oda Restaurant and Brewery,37.768840000000004,-122.39577,94158,San Francisco,CA,$$,3.5,95,"newamerican,breweries,pizza",1,Full Bar,1,Private Lot,1,1,0,Casual,Casual,2,3.0,6.0,3.0,19.0,18.0,8.0,3.0,11.0,0.4793303345159655,0.037569690826153065,0.0016472377090724784,0.09414597060314242,0.12385960466294982,0.941,0.22399999999999998,0.048,20,Small No Reviews
The Pub,37.768127899999996,-122.39314170000002,94158,San Francisco,CA,$$,3.5,63,"pubs,coffee,burgers",1,Beer & Wine Only,1,"Garage, Street",1,0,0,Casual,Casual,2,4.0,6.0,2.0,19.0,17.0,11.0,5.0,7.0,0.4793303345159655,0.037569690826153065,0.0016472377090724784,0.09414597060314242,0.12385960466294982,0.941,0.22399999999999998,0.048,20,Small No Reviews
Mission Rock Resort,37.7655104,-122.3865683,94158,San Francisco,CA,$$,3.5,800,"seafood,newamerican,bars",1,Full Bar,1,Street,1,1,0,Casual,Casual,2,2.0,6.0,3.0,19.0,8.0,2.0,7.0,2.0,0.4793303345159655,0.037569690826153065,0.0016472377090724784,0.09414597060314242,0.12385960466294982,0.941,0.22399999999999998,0.048,20,large Number of Reviews
Thanh Long,37.76017,-122.50608999999999,94122,San Francisco,CA,$$$,4.0,2377,"seafood,vietnamese",1,Full Bar,0,Street,1,1,0,Casual,Casual,2,5.0,6.0,3.0,5.0,19.0,8.0,2.0,8.0,0.35444546870529897,0.012317619759051464,0.0010330906894688325,0.4335484281127817,0.05445182618646492,0.9109999999999999,0.226,0.037000000000000005,45,Very Popular Resturant
Karilagan,37.65746623,-122.4381372,94080,South San Francisco,CA,$$,3.5,460,"filipino,seafood,noodles",1,No,0,Street,1,0,0,Casual,Casual,2,5.0,2.0,12.0,4.0,16.0,1.0,7.0,1.0,0.20796049237119482,0.021802904105550233,0.0020490897029557015,0.3398393159873222,0.32043930124566966,0.85,0.075,0.051,20,Meadium to Large Reviews
Pacific Cafe,37.77994,-122.49457,94121,San Francisco,CA,$$,4.0,695,seafood,1,Beer & Wine Only,0,Street,0,0,0,Casual,Casual,2,9.0,6.0,1.0,7.0,30.0,7.0,1.0,16.0,0.40547401458506416,0.015277393150558479,0.0015231237884242592,0.4318055940182775,0.058109480291701286,0.898,0.222,0.034,20,large Number of Reviews
Bistro At The Cliff House,37.77841,-122.51443,94121,San Francisco,CA,$$,3.5,1363,"seafood,newamerican,lounges",1,Full Bar,0,Street,0,0,0,Touristy,Casual,2,1.0,6.0,1.0,19.0,1.0,1.0,7.0,10.0,0.40547401458506416,0.015277393150558479,0.0015231237884242592,0.4318055940182775,0.058109480291701286,0.898,0.222,0.034,20,Very Popular Resturant
Sutro's at The Cliff House,37.77868866,-122.51409299999999,94121,San Francisco,CA,$$$,3.5,1282,newamerican,1,Full Bar,0,Street,0,1,0,Classy,Casual,2,1.0,6.0,1.0,19.0,1.0,1.0,7.0,10.0,0.40547401458506416,0.015277393150558479,0.0015231237884242592,0.4318055940182775,0.058109480291701286,0.898,0.222,0.034,45,Very Popular Resturant
Twenty Five Lusk,37.7785264,-122.3943527,94107,San Francisco,CA,$$$,4.0,1337,"newamerican,cocktailbars",1,Full Bar,1,"Garage, Street, Private Lot",0,1,0,Upscale,Dressy,2,19.0,10.0,44.0,9.0,27.0,26.0,18.0,7.0,0.48344237544036234,0.05723871833584969,0.002315047810770005,0.21436000671028352,0.09263546384834759,0.946,0.335,0.042,45,Very Popular Resturant
Marlowe,37.77832005,-122.3967713,94107,San Francisco,CA,$$,4.0,2513,"newamerican,brasseries",1,Full Bar,0,"Garage, Street",1,1,0,Trendy,Casual,2,16.0,8.0,34.0,8.0,25.0,25.0,17.0,11.0,0.48344237544036234,0.05723871833584969,0.002315047810770005,0.21436000671028352,0.09263546384834759,0.946,0.335,0.042,20,Very Popular Resturant
Fringale,37.77857,-122.39714,94107,San Francisco,CA,$$$,4.0,1037,"french,basque",1,Full Bar,0,Street,1,1,0,Intimate,Casual,2,16.0,9.0,33.0,8.0,24.0,27.0,17.0,14.0,0.48344237544036234,0.05723871833584969,0.002315047810770005,0.21436000671028352,0.09263546384834759,0.946,0.335,0.042,45,Very Popular Resturant
Cockscomb,37.77865,-122.39733000000001,94107,San Francisco,CA,$$$,4.0,1023,"bars,newamerican",1,Full Bar,0,Street,0,1,0,Trendy,Casual,2,16.0,9.0,30.0,10.0,23.0,27.0,17.0,16.0,0.48344237544036234,0.05723871833584969,0.002315047810770005,0.21436000671028352,0.09263546384834759,0.946,0.335,0.042,45,Very Popular Resturant
Momo's,37.779843,-122.39021399999999,94107,San Francisco,CA,$$,3.0,839,"newamerican,bars",1,Full Bar,1,"Valet, Street",1,1,0,Casual,Casual,2,15.0,5.0,30.0,6.0,11.0,15.0,15.0,5.0,0.48344237544036234,0.05723871833584969,0.002315047810770005,0.21436000671028352,0.09263546384834759,0.946,0.335,0.042,20,large Number of Reviews
Alexander's Steakhouse,37.7793,-122.39568,94107,San Francisco,CA,$$$$,4.0,1567,"steak,seafood,newamerican",1,Full Bar,0,"Valet, Street",0,1,0,"Classy, Upscale",Dressy,2,20.0,10.0,45.0,11.0,26.0,32.0,17.0,9.0,0.48344237544036234,0.05723871833584969,0.002315047810770005,0.21436000671028352,0.09263546384834759,0.946,0.335,0.042,60,Very Popular Resturant
Tres Tequila Lounge & Mexican Kitchen,37.78014691,-122.3913297,94107,San Francisco,CA,$$,3.0,1593,"mexican,bars,breakfast_brunch",1,Full Bar,0,Street,1,1,0,Casual,Casual,2,19.0,6.0,37.0,9.0,14.0,24.0,19.0,6.0,0.48344237544036234,0.05723871833584969,0.002315047810770005,0.21436000671028352,0.09263546384834759,0.946,0.335,0.042,20,Very Popular Resturant
Brickhouse Cafe,37.77965,-122.39523,94107,San Francisco,CA,$$,3.5,1115,"tradamerican,breakfast_brunch,bars",1,Full Bar,0,Street,1,0,0,Casual,Casual,2,20.0,10.0,45.0,11.0,27.0,32.0,17.0,10.0,0.48344237544036234,0.05723871833584969,0.002315047810770005,0.21436000671028352,0.09263546384834759,0.946,0.335,0.042,20,Very Popular Resturant
Mestiza Taqueria,37.77959,-122.39777,94107,San Francisco,CA,$$,3.5,136,"mexican,filipino,beerbar",1,Beer & Wine Only,1,Street,1,0,0,Casual,Casual,2,15.0,8.0,36.0,12.0,23.0,26.0,15.0,16.0,0.48344237544036234,0.05723871833584969,0.002315047810770005,0.21436000671028352,0.09263546384834759,0.946,0.335,0.042,20,Small No Reviews
Slice House,37.780901,-122.391305,94107,San Francisco,CA,$$,4.0,291,"pizza,italian",1,Beer & Wine Only,0,Street,1,0,0,Casual,Casual,2,13.0,5.0,35.0,7.0,14.0,21.0,18.0,6.0,0.48344237544036234,0.05723871833584969,0.002315047810770005,0.21436000671028352,0.09263546384834759,0.946,0.335,0.042,20,Medium No Reviews
Lava Lounge,37.7805748,-122.3963928,94107,San Francisco,CA,$$,3.5,244,"lounges,ramen,cocktailbars",1,Full Bar,0,Street,1,1,0,Casual,Casual,2,18.0,10.0,44.0,11.0,26.0,34.0,14.0,13.0,0.48344237544036234,0.05723871833584969,0.002315047810770005,0.21436000671028352,0.09263546384834759,0.946,0.335,0.042,20,Medium No Reviews
La Briciola,37.78157656,-122.3959223,94107,San Francisco,CA,$$,4.0,853,italian,1,Beer & Wine Only,0,Street,1,1,0,Romantic,Casual,2,19.0,10.0,41.0,11.0,24.0,35.0,13.0,15.0,0.48344237544036234,0.05723871833584969,0.002315047810770005,0.21436000671028352,0.09263546384834759,0.946,0.335,0.042,20,large Number of Reviews
Town's End Restaurant & Bakery,37.782503000000005,-122.3887404,94107,San Francisco,CA,$$,3.5,746,"tradamerican,breakfast_brunch,bars",1,Beer & Wine Only,1,Street,1,1,0,Casual,Casual,2,5.0,2.0,15.0,2.0,8.0,10.0,3.0,4.0,0.48344237544036234,0.05723871833584969,0.002315047810770005,0.21436000671028352,0.09263546384834759,0.946,0.335,0.042,20,large Number of Reviews
Oola Restaurant & Bar,37.78103,-122.40263,94107,San Francisco,CA,$$,3.5,1712,"newamerican,bars,breakfast_brunch",1,Full Bar,0,Street,1,1,0,Trendy,Casual,2,23.0,2.0,33.0,16.0,24.0,27.0,5.0,21.0,0.48344237544036234,0.05723871833584969,0.002315047810770005,0.21436000671028352,0.09263546384834759,0.946,0.335,0.042,20,Very Popular Resturant
Zero Zero,37.78163,-122.40203999999999,94107,San Francisco,CA,$$,4.0,3030,"pizza,italian,cocktailbars",1,Full Bar,0,Street,1,1,0,Trendy,Casual,2,18.0,2.0,39.0,16.0,24.0,31.0,6.0,19.0,0.48344237544036234,0.05723871833584969,0.002315047810770005,0.21436000671028352,0.09263546384834759,0.946,0.335,0.042,20,Very Popular Resturant
Pazzia Restaurant & Pizzeria,37.78341516,-122.398017,94107,San Francisco,CA,$$,4.0,900,"italian,pizza",1,Full Bar,1,Street,1,1,0,Casual,Casual,2,20.0,6.0,50.0,12.0,22.0,49.0,12.0,19.0,0.48344237544036234,0.05723871833584969,0.002315047810770005,0.21436000671028352,0.09263546384834759,0.946,0.335,0.042,20,large Number of Reviews
Canton Seafood & Dim Sum Restaurant,37.78437424,-122.3977737,94107,San Francisco,CA,$$,3.5,661,"dimsum,seafood,cantonese",1,Full Bar,0,"Garage, Street, Private Lot",1,1,0,Casual,Casual,2,23.0,9.0,45.0,14.0,32.0,56.0,5.0,20.0,0.48344237544036234,0.05723871833584969,0.002315047810770005,0.21436000671028352,0.09263546384834759,0.946,0.335,0.042,20,large Number of Reviews
Fogo de ChÃƒÂ£o Brazilian Steakhouse,37.78503902,-122.40025619999999,94103,San Francisco,CA,$$$,4.0,652,"brazilian,steak",1,Full Bar,0,"Valet, Street",0,1,0,Casual,Casual,2,51.0,20.0,60.0,37.0,45.0,60.0,13.0,33.0,0.39213508960024507,0.10805636391484148,0.008615408178894165,0.26370807168019605,0.22748506662582324,0.85,0.172,0.05,45,large Number of Reviews
Benu,37.785402000000005,-122.399068,94105,San Francisco,CA,$$$$,4.5,972,"newamerican,asianfusion,wine_bars",1,Beer & Wine Only,0,Valet,0,1,0,Upscale,Dressy,4,50.0,21.0,60.0,30.0,50.0,60.0,11.0,23.0,0.4461538461538462,0.017997097242380262,0.0021770682148040637,0.2941944847605225,0.050362844702467345,1.015,0.43200000000000005,0.022000000000000002,60,large Number of Reviews
TRACE,37.78535998,-122.40062420000001,94103,San Francisco,CA,$$,3.5,325,newamerican,1,Full Bar,0,Street,0,1,0,Trendy,Dressy,2,60.0,27.0,60.0,47.0,48.0,60.0,15.0,36.0,0.39213508960024507,0.10805636391484148,0.008615408178894165,0.26370807168019605,0.22748506662582324,0.85,0.172,0.05,20,Meadium to Large Reviews
Local Kitchen & Wine Merchant,37.78678513,-122.39421840000001,94105,San Francisco,CA,$$,3.5,997,"wine_bars,newamerican,pizza",1,Full Bar,0,"Garage, Street",1,1,0,Trendy,Casual,2,25.0,13.0,25.0,12.0,60.0,39.0,5.0,21.0,0.4461538461538462,0.017997097242380262,0.0021770682148040637,0.2941944847605225,0.050362844702467345,1.015,0.43200000000000005,0.022000000000000002,20,large Number of Reviews
TropisueÃƒÂ±o,37.78530085,-122.40391869999999,94103,San Francisco,CA,$$,4.0,3927,"mexican,cocktailbars",1,Full Bar,1,"Garage, Street",1,1,0,Casual,Casual,3,58.0,21.0,60.0,60.0,44.0,60.0,23.0,35.0,0.39213508960024507,0.10805636391484148,0.008615408178894165,0.26370807168019605,0.22748506662582324,0.85,0.172,0.05,20,Very Popular Resturant
Mourad Restaurant,37.786609999999996,-122.4,94105,San Francisco,CA,$$$,4.0,824,"moroccan,venues,bars",1,Full Bar,0,"Garage, Street",0,1,0,"Trendy, Classy, Upscale",Dressy,2,60.0,38.0,60.0,60.0,60.0,60.0,27.0,39.0,0.4461538461538462,0.017997097242380262,0.0021770682148040637,0.2941944847605225,0.050362844702467345,1.015,0.43200000000000005,0.022000000000000002,45,large Number of Reviews
