,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
0,20001,45643,11496,19563,98,2720,11,116,992,3555,91.1%,,34.7%,4.9%,27.6 minutes,66.6%,21.5%,1.3%,2.8%,7.6%
1,20002,60514,15763,32121,130,876,30,90,1061,2299,91.2%,,30.5%,6.3%,30.5 minutes,55.3%,27.4%,2.3%,4.3%,10.7%
2,20003,29487,14002,9633,95,728,6,68,567,1355,96.2%,,42.7%,4.4%,26.8 minutes,51.9%,36.1%,1.5%,2.5%,7.9%
3,20004,1732,1190,109,4,152,4,1,53,109,103.2%,,63.0%,3.4%,21.0 minutes,41.3%,41.9%,2.0%,2.0%,12.8%
4,20005,13250,7276,1938,20,1037,6,41,315,2142,94.8%,,46.4%,2.3%,23.7 minutes,64.1%,25.0%,0.9%,2.5%,7.4%
5,20006,2961,2283,184,3,392,2,6,114,243,101.7%,,55.6%,7.4%,18.8 minutes,96.9%,1.6%,0.0%,0.2%,1.4%
6,20007,26793,21862,839,30,1590,9,82,541,1913,100.6%,,57.3%,3.2%,26.9 minutes,52.2%,36.3%,1.2%,2.4%,8.0%
7,20008,28666,21132,1405,44,2074,8,90,660,2112,101.6%,,60.2%,1.7%,29.1 minutes,49.0%,38.4%,1.4%,3.5%,7.8%
8,20009,52246,27006,9931,98,2432,24,140,1099,7262,96.1%,,48.6%,3.8%,29.3 minutes,64.1%,26.0%,1.2%,1.7%,7.1%
9,20010,32886,9836,9363,73,1081,11,96,602,9076,84.5%,,33.3%,4.4%,33.1 minutes,59.3%,28.2%,2.2%,3.7%,6.6%
10,20011,68315,5726,38232,128,752,23,189,1088,12398,85.8%,,20.3%,6.4%,33.6 minutes,47.9%,33.9%,2.4%,6.5%,9.3%
11,20016,35696,25699,1383,42,1976,15,115,915,2374,100.9%,,58.0%,3.3%,28.4 minutes,42.3%,45.5%,0.9%,3.4%,8.0%
12,20017,20663,3116,12666,32,309,1,44,416,1151,91.2%,,29.3%,9.9%,32.3 minutes,48.3%,31.6%,2.1%,7.7%,10.3%
13,20024,12357,3687,6272,66,522,4,34,331,594,95.2%,,40.8%,5.3%,28.2 minutes,56.9%,28.9%,1.4%,3.2%,9.6%
14,20036,5736,3897,423,4,537,2,13,145,414,102.5%,,56.5%,1.7%,23.8 minutes,62.1%,31.4%,0.6%,0.8%,5.1%
15,20037,15504,10844,926,20,1554,0,32,421,845,99.6%,,64.0%,2.9%,23.9 minutes,69.3%,22.8%,1.0%,1.5%,5.3%
16,20781,11542,2786,3552,38,300,8,45,219,4492,74.8%,,18.2%,4.5%,34.7 minutes,43.2%,40.5%,2.9%,4.1%,9.4%
17,20814,29241,21021,1134,34,2572,20,74,695,2092,100.4%,,52.0%,2.8%,29.5 minutes,34.5%,48.4%,1.0%,6.3%,9.7%
18,20815,30703,23357,1256,28,1804,13,90,702,1832,100.9%,,57.3%,2.2%,30.1 minutes,25.2%,60.0%,0.9%,6.8%,7.0%
19,20902,53213,17141,8722,100,4909,30,224,1183,16532,82.6%,,23.2%,6.1%,35.8 minutes,37.9%,47.4%,1.9%,3.9%,9.0%
20,20910,41897,18097,10445,70,2642,13,127,1144,4907,96.5%,,42.1%,4.6%,33.6 minutes,42.8%,42.9%,2.5%,3.1%,8.8%
21,22101,30671,22842,484,31,4112,11,79,779,1549,100.4%,,55.1%,3.3%,30.1 minutes,22.8%,64.2%,0.8%,5.8%,6.4%
22,22201,36684,24685,1456,45,3267,15,87,877,3044,99.1%,,44.7%,1.8%,29.1 minutes,58.5%,34.4%,0.4%,1.1%,5.5%
23,22202,23714,15562,1733,67,2671,20,46,621,1823,100.4%,,54.1%,2.4%,29.1 minutes,48.6%,39.8%,1.0%,3.2%,7.3%
24,22203,23260,13867,1273,44,2217,14,55,541,3839,94.7%,,38.5%,2.3%,27.8 minutes,50.5%,36.8%,1.2%,4.4%,7.1%
25,22204,54821,18234,7683,122,5373,31,188,1169,14433,87.8%,,23.7%,3.0%,29.8 minutes,41.5%,44.9%,2.1%,3.3%,8.2%
26,22205,19470,13451,438,16,1035,3,59,440,1645,98.2%,,45.7%,2.9%,29.1 minutes,30.5%,58.9%,0.7%,4.1%,5.7%
27,22207,33667,24727,1384,34,1681,6,69,738,2281,99.7%,,48.4%,2.1%,28.8 minutes,29.2%,59.2%,0.8%,3.7%,7.1%
28,22209,12569,7822,607,21,2046,13,35,361,1409,100.7%,,50.3%,3.8%,26.6 minutes,51.8%,35.5%,2.0%,1.2%,9.6%
29,22213,3626,2379,72,3,205,11,8,81,177,98.6%,,47.0%,0.9%,30.7 minutes,27.7%,61.5%,1.7%,4.5%,4.6%
30,22305,18222,6363,2274,41,560,6,41,294,5861,79.4%,,29.2%,2.4%,33.4 minutes,48.6%,42.3%,1.6%,2.4%,5.2%
