,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
0,10001,23666,11704,1602,33,3519,5,95,496,3648,94.9%,,33.2%,5.3%,27.8 minutes,58.2%,29.8%,1.9%,3.3%,6.8%
1,10002,79216,16330,5257,108,37739,14,143,1200,20619,69.1%,,11.7%,6.8%,33.2 minutes,44.0%,37.3%,2.7%,7.8%,8.2%
2,10003,57581,40056,1738,63,8020,16,205,1437,4489,98.5%,,38.2%,4.3%,26.2 minutes,63.7%,26.9%,0.7%,2.9%,5.8%
3,10004,3087,2034,86,4,653,0,15,108,189,101.5%,,41.2%,4.2%,24.1 minutes,49.8%,41.9%,0.1%,1.9%,6.3%
4,10006,3324,1947,135,3,590,0,5,83,248,102.4%,,39.2%,1.9%,25.6 minutes,62.3%,30.8%,0.6%,0.0%,6.3%
5,10007,6836,4715,413,2,870,6,35,236,711,95.7%,,44.4%,1.1%,25.8 minutes,35.9%,53.7%,2.7%,0.8%,6.9%
6,10009,60656,30587,4775,101,8277,21,219,1390,15977,89.0%,,23.2%,4.2%,32.7 minutes,58.7%,26.1%,2.1%,5.0%,8.2%
7,10010,33325,21665,1678,34,4553,12,115,762,3015,99.1%,,39.0%,4.0%,26.0 minutes,58.1%,31.8%,1.1%,3.2%,5.8%
8,10011,51126,37300,1976,52,4475,21,180,1129,5851,97.3%,,39.5%,3.4%,25.6 minutes,52.8%,33.0%,1.4%,3.4%,9.4%
9,10012,24887,16995,518,18,3956,7,94,581,1921,96.8%,,38.2%,3.7%,24.4 minutes,57.7%,32.6%,1.3%,2.8%,5.7%
10,10013,28615,14492,985,20,9982,4,107,625,1485,85.8%,,27.6%,3.1%,27.3 minutes,43.9%,42.7%,2.1%,5.8%,5.6%
11,10014,31915,26580,604,27,1861,10,98,749,2030,101.5%,,36.1%,4.3%,25.4 minutes,59.6%,29.3%,1.6%,2.2%,7.3%
12,10016,51167,37601,1981,47,8953,18,177,1012,4394,98.0%,,34.2%,3.4%,26.0 minutes,56.7%,31.7%,1.0%,3.5%,7.1%
13,10017,16770,11685,491,8,2909,5,66,333,1078,100.4%,,38.3%,2.3%,27.3 minutes,53.4%,35.0%,1.2%,3.5%,6.8%
14,10018,9822,2480,334,9,1338,0,14,109,945,95.8%,,33.3%,3.0%,27.4 minutes,65.3%,23.8%,2.3%,1.5%,7.1%
15,10019,40071,25884,1987,51,7106,23,166,938,6715,96.6%,,34.8%,4.2%,27.0 minutes,53.6%,30.7%,2.1%,5.2%,8.5%
16,10021,45910,36603,724,24,3166,11,113,645,2345,101.0%,,43.1%,2.0%,30.3 minutes,35.8%,47.5%,1.5%,5.5%,9.6%
17,10022,30696,26222,549,18,2849,16,101,440,1729,100.5%,,40.4%,3.1%,27.4 minutes,41.7%,43.6%,0.6%,5.6%,8.4%
18,10023,61172,46579,2524,64,5431,15,152,1126,5107,99.7%,,50.2%,3.3%,29.7 minutes,41.9%,42.2%,1.3%,5.3%,9.3%
19,10024,59355,45701,2667,49,3226,15,215,1081,6329,97.1%,,46.0%,2.6%,32.3 minutes,39.8%,45.7%,1.5%,3.7%,9.3%
20,10025,96075,52030,11157,125,7708,31,318,2221,21010,92.8%,,39.4%,5.9%,33.3 minutes,44.9%,39.2%,2.1%,5.2%,8.7%
21,10026,39092,5342,18447,89,1427,25,130,889,7654,83.6%,,21.2%,6.2%,35.5 minutes,53.6%,29.9%,4.2%,4.4%,8.0%
22,10027,65039,13871,23904,171,4469,18,212,1487,15575,83.7%,,25.9%,4.7%,34.6 minutes,59.6%,26.9%,3.2%,3.8%,6.6%
23,10028,48896,37803,699,23,3305,17,110,759,2425,100.0%,,40.5%,2.9%,32.0 minutes,39.6%,45.6%,1.3%,5.1%,8.4%
24,10029,80550,10119,19344,137,5097,57,298,1092,39859,76.9%,,14.3%,8.9%,34.7 minutes,56.5%,27.0%,2.9%,5.7%,8.0%
25,10030,30793,1636,18159,100,389,13,72,542,6088,77.1%,,10.4%,11.8%,38.6 minutes,56.0%,25.4%,5.0%,5.4%,8.3%
26,10031,61649,5920,15014,135,1292,18,207,868,32984,72.6%,,15.3%,7.6%,40.0 minutes,55.0%,27.4%,4.2%,4.1%,9.3%
27,10032,64095,6124,8478,100,1863,4,168,710,39884,70.0%,,10.5%,9.0%,37.5 minutes,51.4%,29.1%,4.2%,4.7%,10.6%
