,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
0,90004,58240,58240,58240,58240,58240,58240,58240,58240,58240,000000000058240,00000000058240,0000058240,000000000058240,0058240 minutes,000000000058240,000000000058240,000000000058240,000000000058240,000000000058240
1,90005,58198,58198,58198,58198,58198,58198,58198,58198,58198,000000000058198,00000000058198,0000058198,000000000058198,0058198 minutes,000000000058198,000000000058198,000000000058198,000000000058198,000000000058198
2,90006,58208,58208,58208,58208,58208,58208,58208,58208,58208,000000000058208,00000000058208,0000058208,000000000058208,0058208 minutes,000000000058208,000000000058208,000000000058208,000000000058208,000000000058208
3,90007,58128,58128,58128,58128,58128,58128,58128,58128,58128,000000000058128,00000000058128,0000058128,000000000058128,0058128 minutes,000000000058128,000000000058128,000000000058128,000000000058128,000000000058128
4,90008,58278,58278,58278,58278,58278,58278,58278,58278,58278,000000000058278,00000000058278,0000058278,000000000058278,0058278 minutes,000000000058278,000000000058278,000000000058278,000000000058278,000000000058278
5,90010,5810,5810,5810,5810,5810,5810,5810,5810,5810,00000000005810,0000000005810,000005810,00000000005810,005810 minutes,00000000005810,00000000005810,00000000005810,00000000005810,00000000005810
6,90012,58160,58160,58160,58160,58160,58160,58160,58160,58160,000000000058160,00000000058160,0000058160,000000000058160,0058160 minutes,000000000058160,000000000058160,000000000058160,000000000058160,000000000058160
7,90013,58240,58240,58240,58240,58240,58240,58240,58240,58240,000000000058240,00000000058240,0000058240,000000000058240,0058240 minutes,000000000058240,000000000058240,000000000058240,000000000058240,000000000058240
8,90014,58518,58518,58518,58518,58518,58518,58518,58518,58518,000000000058518,00000000058518,0000058518,000000000058518,0058518 minutes,000000000058518,000000000058518,000000000058518,000000000058518,000000000058518
9,90015,5838,5838,5838,5838,5838,5838,5838,5838,5838,00000000005838,0000000005838,000005838,00000000005838,005838 minutes,00000000005838,00000000005838,00000000005838,00000000005838,00000000005838
10,90016,6168,6168,6168,6168,6168,6168,6168,6168,6168,00000000006168,0000000006168,000006168,00000000006168,006168 minutes,00000000006168,00000000006168,00000000006168,00000000006168,00000000006168
11,90017,9920,9920,9920,9920,9920,9920,9920,9920,9920,00000000009920,0000000009920,000009920,00000000009920,009920 minutes,00000000009920,00000000009920,00000000009920,00000000009920,00000000009920
12,90018,62240,62240,62240,62240,62240,62240,62240,62240,62240,000000000062240,00000000062240,0000062240,000000000062240,0062240 minutes,000000000062240,000000000062240,000000000062240,000000000062240,000000000062240
13,90019,61550,61550,61550,61550,61550,61550,61550,61550,61550,000000000061550,00000000061550,0000061550,000000000061550,0061550 minutes,000000000061550,000000000061550,000000000061550,000000000061550,000000000061550
14,90020,61748,61748,61748,61748,61748,61748,61748,61748,61748,000000000061748,00000000061748,0000061748,000000000061748,0061748 minutes,000000000061748,000000000061748,000000000061748,000000000061748,000000000061748
15,90021,6140,6140,6140,6140,6140,6140,6140,6140,6140,00000000006140,0000000006140,000006140,00000000006140,006140 minutes,00000000006140,00000000006140,00000000006140,00000000006140,00000000006140
16,90022,61780,61780,61780,61780,61780,61780,61780,61780,61780,000000000061780,00000000061780,0000061780,000000000061780,0061780 minutes,000000000061780,000000000061780,000000000061780,000000000061780,000000000061780
17,90023,61630,61630,61630,61630,61630,61630,61630,61630,61630,000000000061630,00000000061630,0000061630,000000000061630,0061630 minutes,000000000061630,000000000061630,000000000061630,000000000061630,000000000061630
