,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
18,90024,61518,61518,61518,61518,61518,61518,61518,61518,61518,000000000061518,00000000061518,0000061518,000000000061518,0061518 minutes,000000000061518,000000000061518,000000000061518,000000000061518,000000000061518
19,90025,61470,61470,61470,61470,61470,61470,61470,61470,61470,000000000061470,00000000061470,0000061470,000000000061470,0061470 minutes,000000000061470,000000000061470,000000000061470,000000000061470,000000000061470
20,90026,58588,58588,58588,58588,58588,58588,58588,58588,58588,000000000058588,00000000058588,0000058588,000000000058588,0058588 minutes,000000000058588,000000000058588,000000000058588,000000000058588,000000000058588
21,90027,5810,5810,5810,5810,5810,5810,5810,5810,5810,00000000005810,0000000005810,000005810,00000000005810,005810 minutes,00000000005810,00000000005810,00000000005810,00000000005810,00000000005810
22,90028,9920,9920,9920,9920,9920,9920,9920,9920,9920,00000000009920,0000000009920,000009920,00000000009920,009920 minutes,00000000009920,00000000009920,00000000009920,00000000009920,00000000009920
23,90029,62240,62240,62240,62240,62240,62240,62240,62240,62240,000000000062240,00000000062240,0000062240,000000000062240,0062240 minutes,000000000062240,000000000062240,000000000062240,000000000062240,000000000062240
24,90031,58240,58240,58240,58240,58240,58240,58240,58240,58240,000000000058240,00000000058240,0000058240,000000000058240,0058240 minutes,000000000058240,000000000058240,000000000058240,000000000058240,000000000058240
25,90032,58208,58208,58208,58208,58208,58208,58208,58208,58208,000000000058208,00000000058208,0000058208,000000000058208,0058208 minutes,000000000058208,000000000058208,000000000058208,000000000058208,000000000058208
26,90033,58518,58518,58518,58518,58518,58518,58518,58518,58518,000000000058518,00000000058518,0000058518,000000000058518,0058518 minutes,000000000058518,000000000058518,000000000058518,000000000058518,000000000058518
27,90034,58128,58128,58128,58128,58128,58128,58128,58128,58128,000000000058128,00000000058128,0000058128,000000000058128,0058128 minutes,000000000058128,000000000058128,000000000058128,000000000058128,000000000058128
28,90035,58198,58198,58198,58198,58198,58198,58198,58198,58198,000000000058198,00000000058198,0000058198,000000000058198,0058198 minutes,000000000058198,000000000058198,000000000058198,000000000058198,000000000058198
29,90036,5838,5838,5838,5838,5838,5838,5838,5838,5838,00000000005838,0000000005838,000005838,00000000005838,005838 minutes,00000000005838,00000000005838,00000000005838,00000000005838,00000000005838
30,90038,61908,61908,61908,61908,61908,61908,61908,61908,61908,000000000061908,00000000061908,0000061908,000000000061908,0061908 minutes,000000000061908,000000000061908,000000000061908,000000000061908,000000000061908
31,90039,6150,6150,6150,6150,6150,6150,6150,6150,6150,00000000006150,0000000006150,000006150,00000000006150,006150 minutes,00000000006150,00000000006150,00000000006150,00000000006150,00000000006150
32,90040,61470,61470,61470,61470,61470,61470,61470,61470,61470,000000000061470,00000000061470,0000061470,000000000061470,0061470 minutes,000000000061470,000000000061470,000000000061470,000000000061470,000000000061470
33,90041,6178,6178,6178,6178,6178,6178,6178,6178,6178,00000000006178,0000000006178,000006178,00000000006178,006178 minutes,00000000006178,00000000006178,00000000006178,00000000006178,00000000006178
34,90042,58208,58208,58208,58208,58208,58208,58208,58208,58208,000000000058208,00000000058208,0000058208,000000000058208,0058208 minutes,000000000058208,000000000058208,000000000058208,000000000058208,000000000058208
35,90043,61668,61668,61668,61668,61668,61668,61668,61668,61668,000000000061668,00000000061668,0000061668,000000000061668,0061668 minutes,000000000061668,000000000061668,000000000061668,000000000061668,000000000061668
36,90045,61518,61518,61518,61518,61518,61518,61518,61518,61518,000000000061518,00000000061518,0000061518,000000000061518,0061518 minutes,000000000061518,000000000061518,000000000061518,000000000061518,000000000061518
37,90046,61908,61908,61908,61908,61908,61908,61908,61908,61908,000000000061908,00000000061908,0000061908,000000000061908,0061908 minutes,000000000061908,000000000061908,000000000061908,000000000061908,000000000061908
38,90048,6150,6150,6150,6150,6150,6150,6150,6150,6150,00000000006150,0000000006150,000006150,00000000006150,006150 minutes,00000000006150,00000000006150,00000000006150,00000000006150,00000000006150
39,90049,62240,62240,62240,62240,62240,62240,62240,62240,62240,000000000062240,00000000062240,0000062240,000000000062240,0062240 minutes,000000000062240,000000000062240,000000000062240,000000000062240,000000000062240
40,90063,58320,58320,58320,58320,58320,58320,58320,58320,58320,000000000058320,00000000058320,0000058320,000000000058320,0058320 minutes,000000000058320,000000000058320,000000000058320,000000000058320,000000000058320
41,90064,58198,58198,58198,58198,58198,58198,58198,58198,58198,000000000058198,00000000058198,0000058198,000000000058198,0058198 minutes,000000000058198,000000000058198,000000000058198,000000000058198,000000000058198
42,90066,58240,58240,58240,58240,58240,58240,58240,58240,58240,000000000058240,00000000058240,0000058240,000000000058240,0058240 minutes,000000000058240,000000000058240,000000000058240,000000000058240,000000000058240
43,90067,5810,5810,5810,5810,5810,5810,5810,5810,5810,00000000005810,0000000005810,000005810,00000000005810,005810 minutes,00000000005810,00000000005810,00000000005810,00000000005810,00000000005810
44,90068,58198,58198,58198,58198,58198,58198,58198,58198,58198,000000000058198,00000000058198,0000058198,000000000058198,0058198 minutes,000000000058198,000000000058198,000000000058198,000000000058198,000000000058198
45,90069,98,98,98,98,98,98,98,98,98,000000000098,00000000098,0000098,000000000098,0098 minutes,000000000098,000000000098,000000000098,000000000098,000000000098
46,90071,9920,9920,9920,9920,9920,9920,9920,9920,9920,00000000009920,0000000009920,000009920,00000000009920,009920 minutes,00000000009920,00000000009920,00000000009920,00000000009920,00000000009920
47,90077,58208,58208,58208,58208,58208,58208,58208,58208,58208,000000000058208,00000000058208,0000058208,000000000058208,0058208 minutes,000000000058208,000000000058208,000000000058208,000000000058208,000000000058208
48,90094,5810,5810,5810,5810,5810,5810,5810,5810,5810,00000000005810,0000000005810,000005810,00000000005810,005810 minutes,00000000005810,00000000005810,00000000005810,00000000005810,00000000005810
49,90201,61518,61518,61518,61518,61518,61518,61518,61518,61518,000000000061518,00000000061518,0000061518,000000000061518,0061518 minutes,000000000061518,000000000061518,000000000061518,000000000061518,000000000061518
50,90210,6158,6158,6158,6158,6158,6158,6158,6158,6158,00000000006158,0000000006158,000006158,00000000006158,006158 minutes,00000000006158,00000000006158,00000000006158,00000000006158,00000000006158
51,90211,61550,61550,61550,61550,61550,61550,61550,61550,61550,000000000061550,00000000061550,0000061550,000000000061550,0061550 minutes,000000000061550,000000000061550,000000000061550,000000000061550,000000000061550
52,90212,61470,61470,61470,61470,61470,61470,61470,61470,61470,000000000061470,00000000061470,0000061470,000000000061470,0061470 minutes,000000000061470,000000000061470,000000000061470,000000000061470,000000000061470
53,90220,61978,61978,61978,61978,61978,61978,61978,61978,61978,000000000061978,00000000061978,0000061978,000000000061978,0061978 minutes,000000000061978,000000000061978,000000000061978,000000000061978,000000000061978
54,90230,61400,61400,61400,61400,61400,61400,61400,61400,61400,000000000061400,00000000061400,0000061400,000000000061400,0061400 minutes,000000000061400,000000000061400,000000000061400,000000000061400,000000000061400
55,90232,6198,6198,6198,6198,6198,6198,6198,6198,6198,00000000006198,0000000006198,000006198,00000000006198,006198 minutes,00000000006198,00000000006198,00000000006198,00000000006198,00000000006198
56,90240,61518,61518,61518,61518,61518,61518,61518,61518,61518,000000000061518,00000000061518,0000061518,000000000061518,0061518 minutes,000000000061518,000000000061518,000000000061518,000000000061518,000000000061518
57,90241,6158,6158,6158,6158,6158,6158,6158,6158,6158,00000000006158,0000000006158,000006158,00000000006158,006158 minutes,00000000006158,00000000006158,00000000006158,00000000006158,00000000006158
58,90242,58668,58668,58668,58668,58668,58668,58668,58668,58668,000000000058668,00000000058668,0000058668,000000000058668,0058668 minutes,000000000058668,000000000058668,000000000058668,000000000058668,000000000058668
59,90245,58160,58160,58160,58160,58160,58160,58160,58160,58160,000000000058160,00000000058160,0000058160,000000000058160,0058160 minutes,000000000058160,000000000058160,000000000058160,000000000058160,000000000058160
60,90247,58278,58278,58278,58278,58278,58278,58278,58278,58278,000000000058278,00000000058278,0000058278,000000000058278,0058278 minutes,000000000058278,000000000058278,000000000058278,000000000058278,000000000058278
61,90248,5840,5840,5840,5840,5840,5840,5840,5840,5840,00000000005840,0000000005840,000005840,00000000005840,005840 minutes,00000000005840,00000000005840,00000000005840,00000000005840,00000000005840
62,90249,58160,58160,58160,58160,58160,58160,58160,58160,58160,000000000058160,00000000058160,0000058160,000000000058160,0058160 minutes,000000000058160,000000000058160,000000000058160,000000000058160,000000000058160
63,90250,58240,58240,58240,58240,58240,58240,58240,58240,58240,000000000058240,00000000058240,0000058240,000000000058240,0058240 minutes,000000000058240,000000000058240,000000000058240,000000000058240,000000000058240
64,90254,5838,5838,5838,5838,5838,5838,5838,5838,5838,00000000005838,0000000005838,000005838,00000000005838,005838 minutes,00000000005838,00000000005838,00000000005838,00000000005838,00000000005838
65,90255,5840,5840,5840,5840,5840,5840,5840,5840,5840,00000000005840,0000000005840,000005840,00000000005840,005840 minutes,00000000005840,00000000005840,00000000005840,00000000005840,00000000005840
66,90260,58588,58588,58588,58588,58588,58588,58588,58588,58588,000000000058588,00000000058588,0000058588,000000000058588,0058588 minutes,000000000058588,000000000058588,000000000058588,000000000058588,000000000058588
67,90265,58198,58198,58198,58198,58198,58198,58198,58198,58198,000000000058198,00000000058198,0000058198,000000000058198,0058198 minutes,000000000058198,000000000058198,000000000058198,000000000058198,000000000058198
68,90266,6170,6170,6170,6170,6170,6170,6170,6170,6170,00000000006170,0000000006170,000006170,00000000006170,006170 minutes,00000000006170,00000000006170,00000000006170,00000000006170,00000000006170
69,90270,61550,61550,61550,61550,61550,61550,61550,61550,61550,000000000061550,00000000061550,0000061550,000000000061550,0061550 minutes,000000000061550,000000000061550,000000000061550,000000000061550,000000000061550
70,90272,61400,61400,61400,61400,61400,61400,61400,61400,61400,000000000061400,00000000061400,0000061400,000000000061400,0061400 minutes,000000000061400,000000000061400,000000000061400,000000000061400,000000000061400
71,90274,6158,6158,6158,6158,6158,6158,6158,6158,6158,00000000006158,0000000006158,000006158,00000000006158,006158 minutes,00000000006158,00000000006158,00000000006158,00000000006158,00000000006158
72,90275,6140,6140,6140,6140,6140,6140,6140,6140,6140,00000000006140,0000000006140,000006140,00000000006140,006140 minutes,00000000006140,00000000006140,00000000006140,00000000006140,00000000006140
73,90277,6158,6158,6158,6158,6158,6158,6158,6158,6158,00000000006158,0000000006158,000006158,00000000006158,006158 minutes,00000000006158,00000000006158,00000000006158,00000000006158,00000000006158
74,90278,62240,62240,62240,62240,62240,62240,62240,62240,62240,000000000062240,00000000062240,0000062240,000000000062240,0062240 minutes,000000000062240,000000000062240,000000000062240,000000000062240,000000000062240
75,90280,61518,61518,61518,61518,61518,61518,61518,61518,61518,000000000061518,00000000061518,0000061518,000000000061518,0061518 minutes,000000000061518,000000000061518,000000000061518,000000000061518,000000000061518
76,90290,61550,61550,61550,61550,61550,61550,61550,61550,61550,000000000061550,00000000061550,0000061550,000000000061550,0061550 minutes,000000000061550,000000000061550,000000000061550,000000000061550,000000000061550
77,90291,61710,61710,61710,61710,61710,61710,61710,61710,61710,000000000061710,00000000061710,0000061710,000000000061710,0061710 minutes,000000000061710,000000000061710,000000000061710,000000000061710,000000000061710
78,90292,61748,61748,61748,61748,61748,61748,61748,61748,61748,000000000061748,00000000061748,0000061748,000000000061748,0061748 minutes,000000000061748,000000000061748,000000000061748,000000000061748,000000000061748
79,90293,58240,58240,58240,58240,58240,58240,58240,58240,58240,000000000058240,00000000058240,0000058240,000000000058240,0058240 minutes,000000000058240,000000000058240,000000000058240,000000000058240,000000000058240
80,90302,5810,5810,5810,5810,5810,5810,5810,5810,5810,00000000005810,0000000005810,000005810,00000000005810,005810 minutes,00000000005810,00000000005810,00000000005810,00000000005810,00000000005810
81,90303,58518,58518,58518,58518,58518,58518,58518,58518,58518,000000000058518,00000000058518,0000058518,000000000058518,0058518 minutes,000000000058518,000000000058518,000000000058518,000000000058518,000000000058518
82,90304,58208,58208,58208,58208,58208,58208,58208,58208,58208,000000000058208,00000000058208,0000058208,000000000058208,0058208 minutes,000000000058208,000000000058208,000000000058208,000000000058208,000000000058208
83,90401,58240,58240,58240,58240,58240,58240,58240,58240,58240,000000000058240,00000000058240,0000058240,000000000058240,0058240 minutes,000000000058240,000000000058240,000000000058240,000000000058240,000000000058240
84,90402,5810,5810,5810,5810,5810,5810,5810,5810,5810,00000000005810,0000000005810,000005810,00000000005810,005810 minutes,00000000005810,00000000005810,00000000005810,00000000005810,00000000005810
85,90403,5840,5840,5840,5840,5840,5840,5840,5840,5840,00000000005840,0000000005840,000005840,00000000005840,005840 minutes,00000000005840,00000000005840,00000000005840,00000000005840,00000000005840
86,90404,58240,58240,58240,58240,58240,58240,58240,58240,58240,000000000058240,00000000058240,0000058240,000000000058240,0058240 minutes,000000000058240,000000000058240,000000000058240,000000000058240,000000000058240
87,90405,58198,58198,58198,58198,58198,58198,58198,58198,58198,000000000058198,00000000058198,0000058198,000000000058198,0058198 minutes,000000000058198,000000000058198,000000000058198,000000000058198,000000000058198
88,90501,61588,61588,61588,61588,61588,61588,61588,61588,61588,000000000061588,00000000061588,0000061588,000000000061588,0061588 minutes,000000000061588,000000000061588,000000000061588,000000000061588,000000000061588
89,90503,61780,61780,61780,61780,61780,61780,61780,61780,61780,000000000061780,00000000061780,0000061780,000000000061780,0061780 minutes,000000000061780,000000000061780,000000000061780,000000000061780,000000000061780
90,90504,6190,6190,6190,6190,6190,6190,6190,6190,6190,00000000006190,0000000006190,000006190,00000000006190,006190 minutes,00000000006190,00000000006190,00000000006190,00000000006190,00000000006190
91,90505,6180,6180,6180,6180,6180,6180,6180,6180,6180,00000000006180,0000000006180,000006180,00000000006180,006180 minutes,00000000006180,00000000006180,00000000006180,00000000006180,00000000006180
92,90640,6160,6160,6160,6160,6160,6160,6160,6160,6160,00000000006160,0000000006160,000006160,00000000006160,006160 minutes,00000000006160,00000000006160,00000000006160,00000000006160,00000000006160
93,90660,61470,61470,61470,61470,61470,61470,61470,61470,61470,000000000061470,00000000061470,0000061470,000000000061470,0061470 minutes,000000000061470,000000000061470,000000000061470,000000000061470,000000000061470
94,90680,6158,6158,6158,6158,6158,6158,6158,6158,6158,00000000006158,0000000006158,000006158,00000000006158,006158 minutes,00000000006158,00000000006158,00000000006158,00000000006158,00000000006158
95,90706,6138,6138,6138,6138,6138,6138,6138,6138,6138,00000000006138,0000000006138,000006138,00000000006138,006138 minutes,00000000006138,00000000006138,00000000006138,00000000006138,00000000006138
96,90712,62240,62240,62240,62240,62240,62240,62240,62240,62240,000000000062240,00000000062240,0000062240,000000000062240,0062240 minutes,000000000062240,000000000062240,000000000062240,000000000062240,000000000062240
97,90717,6168,6168,6168,6168,6168,6168,6168,6168,6168,00000000006168,0000000006168,000006168,00000000006168,006168 minutes,00000000006168,00000000006168,00000000006168,00000000006168,00000000006168
98,90723,9920,9920,9920,9920,9920,9920,9920,9920,9920,00000000009920,0000000009920,000009920,00000000009920,009920 minutes,00000000009920,00000000009920,00000000009920,00000000009920,00000000009920
99,90731,58518,58518,58518,58518,58518,58518,58518,58518,58518,000000000058518,00000000058518,0000058518,000000000058518,0058518 minutes,000000000058518,000000000058518,000000000058518,000000000058518,000000000058518
100,90732,58278,58278,58278,58278,58278,58278,58278,58278,58278,000000000058278,00000000058278,0000058278,000000000058278,0058278 minutes,000000000058278,000000000058278,000000000058278,000000000058278,000000000058278
101,90740,58320,58320,58320,58320,58320,58320,58320,58320,58320,000000000058320,00000000058320,0000058320,000000000058320,0058320 minutes,000000000058320,000000000058320,000000000058320,000000000058320,000000000058320
102,90744,5840,5840,5840,5840,5840,5840,5840,5840,5840,00000000005840,0000000005840,000005840,00000000005840,005840 minutes,00000000005840,00000000005840,00000000005840,00000000005840,00000000005840
103,90745,58278,58278,58278,58278,58278,58278,58278,58278,58278,000000000058278,00000000058278,0000058278,000000000058278,0058278 minutes,000000000058278,000000000058278,000000000058278,000000000058278,000000000058278
104,90746,58588,58588,58588,58588,58588,58588,58588,58588,58588,000000000058588,00000000058588,0000058588,000000000058588,0058588 minutes,000000000058588,000000000058588,000000000058588,000000000058588,000000000058588
105,90755,58240,58240,58240,58240,58240,58240,58240,58240,58240,000000000058240,00000000058240,0000058240,000000000058240,0058240 minutes,000000000058240,000000000058240,000000000058240,000000000058240,000000000058240
106,90802,58278,58278,58278,58278,58278,58278,58278,58278,58278,000000000058278,00000000058278,0000058278,000000000058278,0058278 minutes,000000000058278,000000000058278,000000000058278,000000000058278,000000000058278
107,90803,5840,5840,5840,5840,5840,5840,5840,5840,5840,00000000005840,0000000005840,000005840,00000000005840,005840 minutes,00000000005840,00000000005840,00000000005840,00000000005840,00000000005840
108,90804,90,90,90,90,90,90,90,90,90,000000000090,00000000090,0000090,000000000090,0090 minutes,000000000090,000000000090,000000000090,000000000090,000000000090
109,90805,61898,61898,61898,61898,61898,61898,61898,61898,61898,000000000061898,00000000061898,0000061898,000000000061898,0061898 minutes,000000000061898,000000000061898,000000000061898,000000000061898,000000000061898
110,90806,61940,61940,61940,61940,61940,61940,61940,61940,61940,000000000061940,00000000061940,0000061940,000000000061940,0061940 minutes,000000000061940,000000000061940,000000000061940,000000000061940,000000000061940
111,90807,6160,6160,6160,6160,6160,6160,6160,6160,6160,00000000006160,0000000006160,000006160,00000000006160,006160 minutes,00000000006160,00000000006160,00000000006160,00000000006160,00000000006160
112,90808,6190,6190,6190,6190,6190,6190,6190,6190,6190,00000000006190,0000000006190,000006190,00000000006190,006190 minutes,00000000006190,00000000006190,00000000006190,00000000006190,00000000006190
113,90810,61748,61748,61748,61748,61748,61748,61748,61748,61748,000000000061748,00000000061748,0000061748,000000000061748,0061748 minutes,000000000061748,000000000061748,000000000061748,000000000061748,000000000061748
114,90813,61668,61668,61668,61668,61668,61668,61668,61668,61668,000000000061668,00000000061668,0000061668,000000000061668,0061668 minutes,000000000061668,000000000061668,000000000061668,000000000061668,000000000061668
115,90814,6120,6120,6120,6120,6120,6120,6120,6120,6120,00000000006120,0000000006120,000006120,00000000006120,006120 minutes,00000000006120,00000000006120,00000000006120,00000000006120,00000000006120
116,90815,58160,58160,58160,58160,58160,58160,58160,58160,58160,000000000058160,00000000058160,0000058160,000000000058160,0058160 minutes,000000000058160,000000000058160,000000000058160,000000000058160,000000000058160
117,91001,61940,61940,61940,61940,61940,61940,61940,61940,61940,000000000061940,00000000061940,0000061940,000000000061940,0061940 minutes,000000000061940,000000000061940,000000000061940,000000000061940,000000000061940
118,91011,988,988,988,988,988,988,988,988,988,0000000000988,000000000988,00000988,0000000000988,00988 minutes,0000000000988,0000000000988,0000000000988,0000000000988,0000000000988
119,91020,58128,58128,58128,58128,58128,58128,58128,58128,58128,000000000058128,00000000058128,0000058128,000000000058128,0058128 minutes,000000000058128,000000000058128,000000000058128,000000000058128,000000000058128
120,91030,58160,58160,58160,58160,58160,58160,58160,58160,58160,000000000058160,00000000058160,0000058160,000000000058160,0058160 minutes,000000000058160,000000000058160,000000000058160,000000000058160,000000000058160
121,91040,58588,58588,58588,58588,58588,58588,58588,58588,58588,000000000058588,00000000058588,0000058588,000000000058588,0058588 minutes,000000000058588,000000000058588,000000000058588,000000000058588,000000000058588
122,91042,5838,5838,5838,5838,5838,5838,5838,5838,5838,00000000005838,0000000005838,000005838,00000000005838,005838 minutes,00000000005838,00000000005838,00000000005838,00000000005838,00000000005838
123,91101,58198,58198,58198,58198,58198,58198,58198,58198,58198,000000000058198,00000000058198,0000058198,000000000058198,0058198 minutes,000000000058198,000000000058198,000000000058198,000000000058198,000000000058198
124,91103,5810,5810,5810,5810,5810,5810,5810,5810,5810,00000000005810,0000000005810,000005810,00000000005810,005810 minutes,00000000005810,00000000005810,00000000005810,00000000005810,00000000005810
125,91104,9920,9920,9920,9920,9920,9920,9920,9920,9920,00000000009920,0000000009920,000009920,00000000009920,009920 minutes,00000000009920,00000000009920,00000000009920,00000000009920,00000000009920
126,91105,6138,6138,6138,6138,6138,6138,6138,6138,6138,00000000006138,0000000006138,000006138,00000000006138,006138 minutes,00000000006138,00000000006138,00000000006138,00000000006138,00000000006138
127,91106,62240,62240,62240,62240,62240,62240,62240,62240,62240,000000000062240,00000000062240,0000062240,000000000062240,0062240 minutes,000000000062240,000000000062240,000000000062240,000000000062240,000000000062240
128,91107,61668,61668,61668,61668,61668,61668,61668,61668,61668,000000000061668,00000000061668,0000061668,000000000061668,0061668 minutes,000000000061668,000000000061668,000000000061668,000000000061668,000000000061668
129,91108,61518,61518,61518,61518,61518,61518,61518,61518,61518,000000000061518,00000000061518,0000061518,000000000061518,0061518 minutes,000000000061518,000000000061518,000000000061518,000000000061518,000000000061518
130,91201,61630,61630,61630,61630,61630,61630,61630,61630,61630,000000000061630,00000000061630,0000061630,000000000061630,0061630 minutes,000000000061630,000000000061630,000000000061630,000000000061630,000000000061630
131,91202,61470,61470,61470,61470,61470,61470,61470,61470,61470,000000000061470,00000000061470,0000061470,000000000061470,0061470 minutes,000000000061470,000000000061470,000000000061470,000000000061470,000000000061470
132,91203,61748,61748,61748,61748,61748,61748,61748,61748,61748,000000000061748,00000000061748,0000061748,000000000061748,0061748 minutes,000000000061748,000000000061748,000000000061748,000000000061748,000000000061748
133,91204,61780,61780,61780,61780,61780,61780,61780,61780,61780,000000000061780,00000000061780,0000061780,000000000061780,0061780 minutes,000000000061780,000000000061780,000000000061780,000000000061780,000000000061780
134,91205,61860,61860,61860,61860,61860,61860,61860,61860,61860,000000000061860,00000000061860,0000061860,000000000061860,0061860 minutes,000000000061860,000000000061860,000000000061860,000000000061860,000000000061860
135,91206,61668,61668,61668,61668,61668,61668,61668,61668,61668,000000000061668,00000000061668,0000061668,000000000061668,0061668 minutes,000000000061668,000000000061668,000000000061668,000000000061668,000000000061668
136,91208,6160,6160,6160,6160,6160,6160,6160,6160,6160,00000000006160,0000000006160,000006160,00000000006160,006160 minutes,00000000006160,00000000006160,00000000006160,00000000006160,00000000006160
137,91210,61400,61400,61400,61400,61400,61400,61400,61400,61400,000000000061400,00000000061400,0000061400,000000000061400,0061400 minutes,000000000061400,000000000061400,000000000061400,000000000061400,000000000061400
138,91214,90,90,90,90,90,90,90,90,90,000000000090,00000000090,0000090,000000000090,0090 minutes,000000000090,000000000090,000000000090,000000000090,000000000090
139,91301,5810,5810,5810,5810,5810,5810,5810,5810,5810,00000000005810,0000000005810,000005810,00000000005810,005810 minutes,00000000005810,00000000005810,00000000005810,00000000005810,00000000005810
140,91302,58208,58208,58208,58208,58208,58208,58208,58208,58208,000000000058208,00000000058208,0000058208,000000000058208,0058208 minutes,000000000058208,000000000058208,000000000058208,000000000058208,000000000058208
141,91303,58198,58198,58198,58198,58198,58198,58198,58198,58198,000000000058198,00000000058198,0000058198,000000000058198,0058198 minutes,000000000058198,000000000058198,000000000058198,000000000058198,000000000058198
142,91304,58160,58160,58160,58160,58160,58160,58160,58160,58160,000000000058160,00000000058160,0000058160,000000000058160,0058160 minutes,000000000058160,000000000058160,000000000058160,000000000058160,000000000058160
143,91306,58278,58278,58278,58278,58278,58278,58278,58278,58278,000000000058278,00000000058278,0000058278,000000000058278,0058278 minutes,000000000058278,000000000058278,000000000058278,000000000058278,000000000058278
144,91307,58128,58128,58128,58128,58128,58128,58128,58128,58128,000000000058128,00000000058128,0000058128,000000000058128,0058128 minutes,000000000058128,000000000058128,000000000058128,000000000058128,000000000058128
145,91311,6140,6140,6140,6140,6140,6140,6140,6140,6140,00000000006140,0000000006140,000006140,00000000006140,006140 minutes,00000000006140,00000000006140,00000000006140,00000000006140,00000000006140
146,91316,61550,61550,61550,61550,61550,61550,61550,61550,61550,000000000061550,00000000061550,0000061550,000000000061550,0061550 minutes,000000000061550,000000000061550,000000000061550,000000000061550,000000000061550
147,91321,61400,61400,61400,61400,61400,61400,61400,61400,61400,000000000061400,00000000061400,0000061400,000000000061400,0061400 minutes,000000000061400,000000000061400,000000000061400,000000000061400,000000000061400
148,91324,6148,6148,6148,6148,6148,6148,6148,6148,6148,00000000006148,0000000006148,000006148,00000000006148,006148 minutes,00000000006148,00000000006148,00000000006148,00000000006148,00000000006148
