,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
39,02171,18155,10734,458,22,5729,3,43,277,445,90.4%,,20.6%,4.5%,36.0 minutes,37.2%,46.7%,0.8%,6.8%,8.5%
40,02184,37597,30471,911,46,2687,10,245,484,890,94.9%,,15.7%,5.3%,34.2 minutes,31.3%,50.4%,1.6%,8.2%,8.5%
41,02186,27743,20489,3705,30,1111,5,178,604,881,97.6%,,31.8%,3.7%,33.5 minutes,35.4%,51.5%,1.1%,5.9%,6.1%
42,02199,1278,935,15,1,143,0,0,17,35,102.0%,,45.2%,3.5%,22.9 minutes,26.1%,62.8%,3.1%,2.8%,5.2%
43,02210,2496,1757,34,2,148,2,4,37,106,102.5%,,39.9%,2.9%,24.1 minutes,52.0%,35.7%,1.8%,1.2%,9.4%
44,02215,25052,16903,989,29,5184,7,94,793,2126,98.2%,,47.1%,7.4%,22.2 minutes,85.2%,10.8%,0.5%,0.7%,2.9%
45,02343,10806,8694,905,22,310,2,108,230,474,96.9%,,8.1%,6.4%,33.7 minutes,35.1%,51.2%,1.2%,4.8%,7.8%
46,02368,34365,12580,11931,69,3989,3,611,918,2057,85.7%,,9.6%,8.9%,36.0 minutes,36.7%,43.9%,3.2%,7.1%,9.2%
47,02445,21330,15385,723,13,2906,1,57,527,1067,99.6%,,54.1%,5.0%,30.4 minutes,41.1%,47.7%,1.2%,3.7%,6.3%
48,02446,30013,21528,757,24,4628,9,97,769,1499,99.5%,,53.4%,2.9%,28.9 minutes,49.5%,40.3%,1.1%,3.7%,5.5%
49,02451,18390,12342,1079,18,1930,1,91,305,1660,95.9%,,24.5%,3.8%,27.6 minutes,35.5%,46.5%,1.3%,6.8%,9.9%
50,02452,15514,10665,840,9,1466,4,60,240,954,92.9%,,25.6%,3.7%,25.1 minutes,52.6%,34.9%,0.7%,5.4%,6.4%
51,02453,29675,18671,1540,39,2438,26,121,467,5666,89.8%,,22.0%,4.1%,25.0 minutes,51.1%,37.5%,1.4%,3.1%,7.0%
52,02458,13052,9709,275,13,1274,3,71,254,532,97.8%,,42.5%,3.3%,26.7 minutes,34.9%,49.6%,0.4%,5.9%,9.1%
53,02459,19292,15268,404,11,2265,4,65,406,672,101.8%,,54.9%,3.8%,30.3 minutes,31.5%,59.3%,0.5%,4.3%,4.3%
54,02465,12045,9504,267,10,1073,0,41,252,563,98.1%,,46.4%,3.5%,27.5 minutes,24.5%,63.1%,0.9%,5.8%,5.7%
55,02467,22364,16438,862,9,3329,6,73,530,1244,100.0%,,53.4%,3.1%,27.0 minutes,53.5%,36.5%,1.2%,4.1%,4.7%
56,02472,34359,26116,897,25,2304,10,248,720,1694,96.1%,,31.1%,4.4%,27.5 minutes,38.4%,45.9%,0.9%,4.9%,9.9%
