,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
105,77354,35525,23300,748,137,290,11,34,344,5351,88.8%,,9.8%,5.8%,35.5 minutes,25.4%,58.9%,1.2%,4.8%,9.8%
106,77365,31083,16078,690,130,305,16,41,297,8212,80.1%,,8.3%,6.6%,30.1 minutes,26.9%,56.7%,2.1%,4.6%,9.7%
107,77373,60147,25603,10336,157,1709,178,147,932,15547,91.0%,,7.7%,4.6%,32.5 minutes,31.5%,53.1%,2.0%,3.3%,10.1%
108,77375,47132,23751,3550,146,1583,25,84,657,9555,90.6%,,8.5%,4.9%,31.8 minutes,27.2%,55.4%,2.0%,4.6%,10.7%
109,77379,79177,46135,5127,172,6419,52,153,1351,11135,94.8%,,17.4%,3.3%,34.5 minutes,23.2%,64.4%,0.8%,4.0%,7.7%
110,77380,27338,16653,1082,65,946,33,40,368,3949,95.0%,,21.0%,3.3%,25.9 minutes,29.9%,50.4%,1.7%,3.8%,14.1%
111,77381,37541,28742,757,108,1263,7,77,498,3509,99.4%,,24.2%,3.0%,31.4 minutes,21.1%,63.8%,1.2%,5.1%,8.8%
112,77382,38685,27364,703,77,1977,25,62,556,4605,99.1%,,25.3%,3.1%,33.5 minutes,25.3%,64.3%,0.0%,4.5%,5.8%
113,77384,15824,9530,357,63,477,7,13,155,1255,95.6%,,17.5%,2.0%,32.4 minutes,23.4%,59.0%,0.5%,8.5%,8.5%
114,77385,23352,13609,1033,82,578,12,22,287,3911,88.2%,,11.0%,4.9%,30.1 minutes,28.2%,54.9%,2.8%,2.6%,11.6%
115,77386,50785,24325,2589,138,1095,48,75,632,7505,94.8%,,12.3%,2.4%,33.5 minutes,25.1%,61.8%,0.6%,2.8%,9.7%
116,77388,44981,24651,3309,115,2894,39,70,655,8651,91.3%,,13.0%,3.5%,32.9 minutes,26.9%,56.9%,1.7%,4.0%,10.4%
117,77396,50916,11097,13084,107,1128,99,83,557,17162,83.0%,,8.2%,4.5%,32.3 minutes,34.2%,50.5%,2.4%,2.9%,10.1%
118,77429,83503,48422,5184,255,4194,41,164,1124,12880,96.0%,,15.1%,2.8%,35.1 minutes,23.6%,64.2%,1.3%,2.9%,7.9%
119,77433,69460,24581,7389,100,3394,22,95,801,14157,93.3%,,16.0%,3.6%,38.2 minutes,22.2%,68.0%,1.3%,2.7%,5.8%
120,77447,15638,7258,879,51,62,11,40,128,3443,80.0%,,5.6%,2.6%,43.6 minutes,27.0%,56.4%,1.6%,4.9%,10.1%
121,77449,113928,27705,16832,171,4576,60,238,1664,43136,85.8%,,6.2%,5.2%,34.9 minutes,32.2%,53.2%,2.3%,3.0%,9.2%
