,name,latitude,longitude,is_closed,zipcode,city,state,price,rating,url,review_count,transactions,category_x,id,Name,category_y,lowprice,highprice,health_index,star1,star2,star3,star4,star5,Accept_Credit_Card,Alcohol,Appointment_Only,Caters,Delivers,Dogs_Allowed,Outdoor_Seating,Parking,Smoking_allowed,Take_out,Takes_Reservations,Wheelchair_Accessible,WIFI,Opened_24hrs,Ambience,Attire,Noise_Level,Music,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
0,Middle East Restaurant and Nightclub,42.3637902,-71.1012764,False,2139.0,Cambridge,MA,$$,3.5,https://www.yelp.com/biz/middle-east-restaurant-and-nightclub-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,531,"['delivery', 'pickup']","mideastern,musicvenues,bars",YFkrZhuA1phCiJB1EJV39w,Middle East Restaurant and Nightclub,"Middle Eastern,Music Venues,Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Street,,Yes,No,,No,,Hipster,Casual,Loud,Live,18.0,10.0,19.0,9.0,5.0,24.0,16.0,1.0,9.0,1.0,1.0,22.0,1.0,1.0,1.0,,,2139.0,36859.0,20950.0,4932.0,60.0,5737.0,18.0,215.0,1406.0,3031.0,95.7%,,44.9%,3.5%,24.7 minutes,63.4%,26.2%,1.2%,2.3%,6.9%
1,Boston Beer Works,42.3472099,-71.09913,False,2215.0,Boston,MA,$$,3.5,https://www.yelp.com/biz/boston-beer-works-boston-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,691,[],"breweries,tradamerican,beerbar",SNJhevBiD7xFvxiEJywMxw,Boston Beer Works,"Breweries,American (Traditional),Beer Bar",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,,24.0,6.0,34.0,14.0,2.0,21.0,21.0,2.0,6.0,1.0,1.0,23.0,,,,,1.0,2215.0,25052.0,16903.0,989.0,29.0,5184.0,7.0,94.0,793.0,2126.0,98.2%,,47.1%,7.4%,22.2 minutes,85.2%,10.8%,0.5%,0.7%,2.9%
2,Craigie On Main,42.3634818,-71.09861289,False,2139.0,Cambridge,MA,$$$$,4.0,https://www.yelp.com/biz/craigie-on-main-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1216,[],"newamerican,french,bars",58cDJU4cub1o0o0B4h9GrA,Craigie On Main,"American (New),French,Bars",Above $61,Above $61,,0,0,0,0,0,Yes,Full Bar,,No,,,No,"Valet, Garage, Street",,No,Yes,,No,,,Casual,Average,,16.0,8.0,17.0,8.0,3.0,31.0,15.0,1.0,9.0,1.0,1.0,17.0,1.0,1.0,,,,2139.0,36859.0,20950.0,4932.0,60.0,5737.0,18.0,215.0,1406.0,3031.0,95.7%,,44.9%,3.5%,24.7 minutes,63.4%,26.2%,1.2%,2.3%,6.9%
3,Gyro City,42.34316228,-71.09899293,False,2215.0,Boston,MA,$,4.0,https://www.yelp.com/biz/gyro-city-boston?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,283,"['delivery', 'pickup']","greek,mediterranean",KENZN5yZDjVQtKzwJ5gD6Q,Gyro City,"Greek,Mediterranean",Under $10,Under $10,,13,12,23,79,156,Yes,No,,Yes,,,Yes,Street,,Yes,No,Yes,No,,Casual,Casual,Average,,15.0,3.0,20.0,3.0,2.0,17.0,14.0,2.0,3.0,1.0,,11.0,,,,,1.0,2215.0,25052.0,16903.0,989.0,29.0,5184.0,7.0,94.0,793.0,2126.0,98.2%,,47.1%,7.4%,22.2 minutes,85.2%,10.8%,0.5%,0.7%,2.9%
4,Porcinis Italian Restaurant,42.36483,-71.1667,False,2472.0,Watertown,MA,$$,4.0,https://www.yelp.com/biz/porcinis-italian-restaurant-watertown?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,167,[],"italian,seafood,mediterranean",7200x8GYzQSeBzuiv3_4BA,Porcinis Italian Restaurant,"Italian,Seafood,Mediterranean",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,,Free,,,Casual,Average,,4.0,1.0,3.0,1.0,,7.0,1.0,2.0,3.0,,,7.0,,,,,,2472.0,34359.0,26116.0,897.0,25.0,2304.0,10.0,248.0,720.0,1694.0,96.1%,,31.1%,4.4%,27.5 minutes,38.4%,45.9%,0.9%,4.9%,9.9%
5,Eastern Standard Kitchen & Drinks,42.34874032,-71.09601684,False,2215.0,Boston,MA,$$$,4.0,https://www.yelp.com/biz/eastern-standard-kitchen-and-drinks-boston-3?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1749,[],"newamerican,lounges,breakfast_brunch",p8ohzzGvGRCHnJKnyO7exA,Eastern Standard Kitchen & Drinks,"American (New),Lounges,Breakfast & Brunch",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,"Valet, Street",,Yes,Yes,,No,,Classy,Casual,Average,,18.0,4.0,26.0,11.0,3.0,16.0,8.0,2.0,8.0,,1.0,20.0,,,,,1.0,2215.0,25052.0,16903.0,989.0,29.0,5184.0,7.0,94.0,793.0,2126.0,98.2%,,47.1%,7.4%,22.2 minutes,85.2%,10.8%,0.5%,0.7%,2.9%
6,Cuchi Cuchi,42.36334,-71.09713,False,2139.0,Cambridge,MA,$$$,4.0,https://www.yelp.com/biz/cuchi-cuchi-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1066,[],"tapasmallplates,wine_bars,cocktailbars",C7FKNwSUlbUinT9cRSLXHA,Cuchi Cuchi,"Tapas/Small Plates,Wine Bars,Cocktail Bars",$31-60,$31-60,,43,51,123,363,486,Yes,Full Bar,,No,,,No,Street,,No,Yes,,No,,Trendy,Casual,Loud,,12.0,5.0,17.0,5.0,2.0,23.0,13.0,1.0,10.0,1.0,1.0,20.0,1.0,,,,,2139.0,36859.0,20950.0,4932.0,60.0,5737.0,18.0,215.0,1406.0,3031.0,95.7%,,44.9%,3.5%,24.7 minutes,63.4%,26.2%,1.2%,2.3%,6.9%
7,Island Creek Oyster Bar,42.34868224,-71.09511845,False,2215.0,Boston,MA,$$$,4.5,https://www.yelp.com/biz/island-creek-oyster-bar-boston?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,2486,[],"seafood,bars",VnuD2cojPTWd3nIHQjnL8w,Island Creek Oyster Bar,"Seafood,Bars",$31-60,$31-60,,75,101,238,681,1394,Yes,Full Bar,,No,,,No,"Valet, Street",,No,Yes,Yes,No,,Trendy,Casual,Average,,16.0,4.0,27.0,6.0,3.0,14.0,8.0,2.0,8.0,,1.0,24.0,,,,,1.0,2215.0,25052.0,16903.0,989.0,29.0,5184.0,7.0,94.0,793.0,2126.0,98.2%,,47.1%,7.4%,22.2 minutes,85.2%,10.8%,0.5%,0.7%,2.9%
8,Trattoria Pulcinella,42.38273710000001,-71.13073979,False,2138.0,Cambridge,MA,$$$,3.0,https://www.yelp.com/biz/trattoria-pulcinella-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,47,[],italian,6q5TIpdyLXLBvOv3wyizWA,Trattoria Pulcinella,Italian,$31-60,$31-60,,12,9,1,9,16,Yes,Beer & Wine Only,,No,,,Yes,Street,,Yes,Yes,,Free,,Romantic,Casual,Quiet,,3.0,1.0,1.0,3.0,,10.0,2.0,,1.0,,,7.0,,,1.0,,,2138.0,37598.0,24934.0,2258.0,56.0,5385.0,4.0,134.0,1298.0,2245.0,100.1%,,56.1%,3.9%,23.8 minutes,58.3%,32.0%,0.7%,2.6%,6.4%
9,Bondir Cambridge,42.3682904,-71.0977689,False,2139.0,Cambridge,MA,$$$$,4.0,https://www.yelp.com/biz/bondir-cambridge-cambridge-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,313,[],newamerican,T8DpRFty13MXLf6MB43aLg,Bondir Cambridge,American (New),Above $61,Above $61,,14,45,37,55,162,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,Yes,,No,,Intimate,Casual,Quiet,,2.0,1.0,2.0,8.0,1.0,24.0,5.0,2.0,5.0,,,19.0,2.0,,1.0,,,2139.0,36859.0,20950.0,4932.0,60.0,5737.0,18.0,215.0,1406.0,3031.0,95.7%,,44.9%,3.5%,24.7 minutes,63.4%,26.2%,1.2%,2.3%,6.9%
