name,latitude,longitude,is_closed,zipcode,city,state,price,rating,url,review_count,transactions,category_x,id,Name,category_y,lowprice,highprice,health_index,star1,star2,star3,star4,star5,Accept_Credit_Card,Alcohol,Appointment_Only,Caters,Delivers,Dogs_Allowed,Outdoor_Seating,Parking,Smoking_allowed,Take_out,Takes_Reservations,Wheelchair_Accessible,WIFI,Opened_24hrs,Ambience,Attire,Noise_Level,Music,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
Malaparte,40.73687,-74.00811999999999,False,10014.0,New York,NY,$$,4.0,https://www.yelp.com/biz/malaparte-new-york?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,272,['pickup'],"italian,salad,coffee",o5mMVFk4Hcpk2FuKfgTgdg,Malaparte,"Italian,Salad,Coffee & Tea",$11-30,$11-30,"
                                A
                            ",14,20,26,91,121,Yes,Beer & Wine Only,,No,,,Yes,Street,,Yes,Yes,,Free,,Casual,Casual,Average,,12.0,3.0,60.0,17.0,5.0,22.0,26.0,1.0,12.0,,3.0,28.0,,,1.0,,1.0
Morandi,40.73534,-74.00151,False,10014.0,New York,NY,$$$,3.5,https://www.yelp.com/biz/morandi-new-york?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,604,"['pickup', 'delivery']","italian,desserts,breakfast_brunch",YT5Ywu9y190B4IGIlBetzA,Morandi,"Italian,Desserts,Breakfast & Brunch",$31-60,$31-60,,40,69,145,230,120,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,,Free,,,Casual,Loud,,52.0,16.0,60.0,60.0,12.0,33.0,60.0,1.0,21.0,4.0,6.0,60.0,3.0,5.0,2.0,,2.0
Tartine,40.73635,-74.00346,False,10014.0,New York,NY,$$,4.0,https://www.yelp.com/biz/tartine-new-york?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,914,"['pickup', 'delivery']","french,breakfast_brunch,bakeries",0Q13lJ3OHXOuBVpN6jeTjw,Tartine,"French,Breakfast & Brunch,Bakeries",$11-30,$11-30,"
                                A
                            ",41,65,156,420,233,No,No,,No,,,Yes,Street,,Yes,No,,No,,Casual,Casual,Average,,45.0,15.0,60.0,60.0,10.0,36.0,60.0,1.0,20.0,,6.0,55.0,1.0,3.0,2.0,,2.0
Bait & Hook,40.73263,-73.98510300000001,False,10003.0,New York,NY,$$,3.5,https://www.yelp.com/biz/bait-and-hook-new-york?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,360,['pickup'],"seafood,fishnchips,bars",6ztuhNteBxQB334A98iP8g,Bait & Hook,"Seafood,Fish & Chips,Bars",$11-30,$11-30,"
                                A
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,,Free,,Casual,Casual,Average,,60.0,15.0,60.0,60.0,6.0,35.0,60.0,1.0,29.0,5.0,6.0,60.0,4.0,2.0,7.0,,
Taverna Kyclades - East Village,40.73107825,-73.9825163,False,10009.0,New York,NY,$$,4.0,https://www.yelp.com/biz/taverna-kyclades-east-village-new-york-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,732,[],"greek,seafood,mediterranean",apykLG7DTZ-7xnOcZGDZZA,Taverna Kyclades - East Village,"Greek,Seafood,Mediterranean",$11-30,$11-30,"
                                B
                            ",36,39,86,197,374,Yes,Full Bar,,No,,No,No,Street,,Yes,No,,No,,Casual,Casual,Average,,45.0,9.0,60.0,60.0,4.0,35.0,53.0,,9.0,5.0,8.0,58.0,,2.0,1.0,,
Momofuku Ssam Bar,40.73169,-73.985846,False,10003.0,New York,NY,$$$,4.0,https://www.yelp.com/biz/momofuku-ssam-bar-new-york-5?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,2279,[],newamerican,1Ed-tb_0dBGrXfsYyehmvg,Momofuku Ssam Bar,American (New),$31-60,$31-60,"
                                A
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,No,,Trendy,Casual,Average,,60.0,12.0,60.0,60.0,8.0,42.0,60.0,1.0,37.0,5.0,11.0,60.0,7.0,3.0,8.0,,
Hearth,40.7300466,-73.9832498,False,10009.0,New York,NY,$$$,4.0,https://www.yelp.com/biz/hearth-new-york?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,655,[],"newamerican,italian,breakfast_brunch",7Oq1UdUHUGZGH_QI6N-0LQ,Hearth,"American (New),Italian,Breakfast & Brunch",$31-60,$31-60,"
                                A
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Street,,No,Yes,,No,,,Casual,Average,,44.0,7.0,60.0,60.0,7.0,38.0,60.0,,13.0,6.0,11.0,55.0,1.0,2.0,3.0,,
Han Dynasty,40.732071999999995,-73.988074,False,10003.0,New York,NY,$$,4.0,https://www.yelp.com/biz/han-dynasty-new-york?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1047,[],"szechuan,bars",wfhMIiMh2A2psCGONOVSlg,Han Dynasty,"Szechuan,Bars",$11-30,$11-30,"
                                A
                            ",82,70,132,384,380,Yes,Full Bar,,No,,No,Yes,Street,,Yes,No,,No,,Casual,Casual,Average,,60.0,25.0,60.0,60.0,11.0,40.0,60.0,1.0,58.0,10.0,13.0,60.0,11.0,4.0,8.0,,
Tree Bistro,40.729659999999996,-73.98359,False,10009.0,New York,NY,$$,3.5,https://www.yelp.com/biz/tree-bistro-new-york-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,324,"['pickup', 'delivery']","french,tradamerican",bjSOXAOXFLMATHlrnWb_3A,Tree Bistro,"French,American (Traditional)",$11-30,$11-30,"
                                A
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,No,,,Yes,"Garage, Street, Private Lot",,Yes,Yes,,No,,Romantic,Casual,Average,,50.0,8.0,60.0,60.0,7.0,38.0,60.0,,15.0,7.0,11.0,58.0,1.0,2.0,4.0,,
Cacio E Pepe,40.7307352,-73.9862681,False,10003.0,New York,NY,$$,3.5,https://www.yelp.com/biz/cacio-e-pepe-new-york?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,428,"['pickup', 'delivery']","italian,bars",E1RvMNZ4re4TnKarjx14Zw,Cacio E Pepe,"Italian,Bars",$11-30,$11-30,"
                                A
                            ",46,47,93,126,116,Yes,Full Bar,,No,,,Yes,"Garage, Street",,Yes,Yes,,Free,,Casual,Casual,Average,,60.0,17.0,60.0,60.0,8.0,47.0,60.0,1.0,33.0,6.0,14.0,60.0,8.0,3.0,8.0,,
