name,latitude,longitude,is_closed,zipcode,city,state,price,rating,url,review_count,transactions,category_x,id,Name,category_y,lowprice,highprice,health_index,star1,star2,star3,star4,star5,Accept_Credit_Card,Alcohol,Appointment_Only,Caters,Delivers,Dogs_Allowed,Outdoor_Seating,Parking,Smoking_allowed,Take_out,Takes_Reservations,Wheelchair_Accessible,WIFI,Opened_24hrs,Ambience,Attire,Noise_Level,Music,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
Middle East Restaurant and Nightclub,42.3637902,-71.1012764,False,2139.0,Cambridge,MA,$$,3.5,https://www.yelp.com/biz/middle-east-restaurant-and-nightclub-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,531,"['delivery', 'pickup']","mideastern,musicvenues,bars",YFkrZhuA1phCiJB1EJV39w,Middle East Restaurant and Nightclub,"Middle Eastern,Music Venues,Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Street,,Yes,No,,No,,Hipster,Casual,Loud,Live,18.0,10.0,19.0,9.0,5.0,24.0,16.0,1.0,9.0,1.0,1.0,22.0,1.0,1.0,1.0,,
Boston Beer Works,42.347209899999996,-71.09913,False,2215.0,Boston,MA,$$,3.5,https://www.yelp.com/biz/boston-beer-works-boston-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,691,[],"breweries,tradamerican,beerbar",SNJhevBiD7xFvxiEJywMxw,Boston Beer Works,"Breweries,American (Traditional),Beer Bar",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,,24.0,6.0,34.0,14.0,2.0,21.0,21.0,2.0,6.0,1.0,1.0,23.0,,,,,1.0
Craigie On Main,42.363481799999995,-71.09861289,False,2139.0,Cambridge,MA,$$$$,4.0,https://www.yelp.com/biz/craigie-on-main-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1216,[],"newamerican,french,bars",58cDJU4cub1o0o0B4h9GrA,Craigie On Main,"American (New),French,Bars",Above $61,Above $61,,0,0,0,0,0,Yes,Full Bar,,No,,,No,"Valet, Garage, Street",,No,Yes,,No,,,Casual,Average,,16.0,8.0,17.0,8.0,3.0,31.0,15.0,1.0,9.0,1.0,1.0,17.0,1.0,1.0,,,
Gyro City,42.34316228,-71.09899293,False,2215.0,Boston,MA,$,4.0,https://www.yelp.com/biz/gyro-city-boston?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,283,"['delivery', 'pickup']","greek,mediterranean",KENZN5yZDjVQtKzwJ5gD6Q,Gyro City,"Greek,Mediterranean",Under $10,Under $10,,13,12,23,79,156,Yes,No,,Yes,,,Yes,Street,,Yes,No,Yes,No,,Casual,Casual,Average,,15.0,3.0,20.0,3.0,2.0,17.0,14.0,2.0,3.0,1.0,,11.0,,,,,1.0
Porcinis Italian Restaurant,42.36483,-71.1667,False,2472.0,Watertown,MA,$$,4.0,https://www.yelp.com/biz/porcinis-italian-restaurant-watertown?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,167,[],"italian,seafood,mediterranean",7200x8GYzQSeBzuiv3_4BA,Porcinis Italian Restaurant,"Italian,Seafood,Mediterranean",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,,Free,,,Casual,Average,,4.0,1.0,3.0,1.0,,7.0,1.0,2.0,3.0,,,7.0,,,,,
Eastern Standard Kitchen & Drinks,42.34874032,-71.09601684,False,2215.0,Boston,MA,$$$,4.0,https://www.yelp.com/biz/eastern-standard-kitchen-and-drinks-boston-3?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1749,[],"newamerican,lounges,breakfast_brunch",p8ohzzGvGRCHnJKnyO7exA,Eastern Standard Kitchen & Drinks,"American (New),Lounges,Breakfast & Brunch",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,"Valet, Street",,Yes,Yes,,No,,Classy,Casual,Average,,18.0,4.0,26.0,11.0,3.0,16.0,8.0,2.0,8.0,,1.0,20.0,,,,,1.0
Cuchi Cuchi,42.36334,-71.09713,False,2139.0,Cambridge,MA,$$$,4.0,https://www.yelp.com/biz/cuchi-cuchi-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1066,[],"tapasmallplates,wine_bars,cocktailbars",C7FKNwSUlbUinT9cRSLXHA,Cuchi Cuchi,"Tapas/Small Plates,Wine Bars,Cocktail Bars",$31-60,$31-60,,43,51,123,363,486,Yes,Full Bar,,No,,,No,Street,,No,Yes,,No,,Trendy,Casual,Loud,,12.0,5.0,17.0,5.0,2.0,23.0,13.0,1.0,10.0,1.0,1.0,20.0,1.0,,,,
Island Creek Oyster Bar,42.34868224,-71.09511845,False,2215.0,Boston,MA,$$$,4.5,https://www.yelp.com/biz/island-creek-oyster-bar-boston?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,2486,[],"seafood,bars",VnuD2cojPTWd3nIHQjnL8w,Island Creek Oyster Bar,"Seafood,Bars",$31-60,$31-60,,75,101,238,681,1394,Yes,Full Bar,,No,,,No,"Valet, Street",,No,Yes,Yes,No,,Trendy,Casual,Average,,16.0,4.0,27.0,6.0,3.0,14.0,8.0,2.0,8.0,,1.0,24.0,,,,,1.0
Trattoria Pulcinella,42.38273710000001,-71.13073979,False,2138.0,Cambridge,MA,$$$,3.0,https://www.yelp.com/biz/trattoria-pulcinella-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,47,[],italian,6q5TIpdyLXLBvOv3wyizWA,Trattoria Pulcinella,Italian,$31-60,$31-60,,12,9,1,9,16,Yes,Beer & Wine Only,,No,,,Yes,Street,,Yes,Yes,,Free,,Romantic,Casual,Quiet,,3.0,1.0,1.0,3.0,,10.0,2.0,,1.0,,,7.0,,,1.0,,
Bondir Cambridge,42.3682904,-71.0977689,False,2139.0,Cambridge,MA,$$$$,4.0,https://www.yelp.com/biz/bondir-cambridge-cambridge-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,313,[],newamerican,T8DpRFty13MXLf6MB43aLg,Bondir Cambridge,American (New),Above $61,Above $61,,14,45,37,55,162,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,Yes,,No,,Intimate,Casual,Quiet,,2.0,1.0,2.0,8.0,1.0,24.0,5.0,2.0,5.0,,,19.0,2.0,,1.0,,
Giulia,42.382509999999996,-71.12009990000001,False,2138.0,Cambridge,MA,$$$,4.5,https://www.yelp.com/biz/giulia-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,393,[],italian,9RH1xBIMMAZXg9s_XW_sLg,Giulia,Italian,$31-60,$31-60,,9,19,34,84,248,Yes,Full Bar,,No,,,No,Street,,No,Yes,,No,,Intimate,Casual,Average,,3.0,1.0,4.0,6.0,3.0,4.0,3.0,1.0,2.0,,1.0,21.0,,,,,
Temple Bar,42.38273,-71.12006,False,2138.0,Cambridge,MA,$$,3.5,https://www.yelp.com/biz/temple-bar-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,487,[],"newamerican,bars",JZPPsLYmLCc9uwuolor7cQ,Temple Bar,"American (New),Bars",$11-30,$11-30,,23,42,96,223,103,Yes,Full Bar,,No,,,Yes,Private Lot,,Yes,Yes,,Free,,,Casual,Average,,4.0,1.0,4.0,6.0,3.0,4.0,4.0,1.0,2.0,,1.0,20.0,,,,,
The Kirkland Tap & Trotter,42.378254999999996,-71.106949,False,2143.0,Somerville,MA,$$$,3.5,https://www.yelp.com/biz/the-kirkland-tap-and-trotter-somerville-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,422,[],newamerican,u4dXemPMSM8TeDPmodFc2A,The Kirkland Tap & Trotter,American (New),$31-60,$31-60,,31,52,77,134,128,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,Free,,Hipster,Casual,Average,,3.0,,4.0,,2.0,24.0,3.0,,2.0,,,12.0,,,1.0,,
Oleana Restaurant,42.37055,-71.09713,False,2139.0,Cambridge,MA,$$$,4.5,https://www.yelp.com/biz/oleana-restaurant-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1366,[],mediterranean,kLr68qdt6nutZCuCMz5mDg,Oleana Restaurant,Mediterranean,$31-60,$31-60,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,Yes,Street,,No,Yes,,No,,Romantic,Casual,Average,,8.0,2.0,9.0,8.0,,33.0,6.0,3.0,7.0,,,19.0,1.0,,,,
Deuxave,42.349521,-71.089166,False,2115.0,Boston,MA,$$$,4.0,https://www.yelp.com/biz/deuxave-boston?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,479,[],"newamerican,bars",E2De90kZUtXIS2dy-vn1yg,Deuxave,"American (New),Bars",$31-60,$31-60,,19,24,43,133,260,Yes,Full Bar,,No,,,Yes,Valet,,No,Yes,,No,,Upscale,Dressy,Average,,13.0,2.0,23.0,28.0,5.0,14.0,20.0,,12.0,1.0,1.0,27.0,5.0,,1.0,,
Midwest Grill Brazilian BBQ,42.37285302,-71.09603,False,2139.0,Cambridge,MA,$$,3.0,https://www.yelp.com/biz/midwest-grill-brazilian-bbq-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,360,"['pickup', 'delivery']","steak,brazilian,bbq",TfSZgUu1Uxwcve7q1j5fLQ,Midwest Grill Brazilian BBQ,"Steakhouses,Brazilian,Barbeque",$11-30,$11-30,,86,65,80,86,43,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,,10.0,2.0,13.0,7.0,,28.0,6.0,2.0,4.0,,,13.0,1.0,,,,
Woody's Grill and Tap,42.344859,-71.08957099999999,False,2115.0,Boston,MA,$$,4.0,https://www.yelp.com/biz/woodys-grill-and-tap-boston-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,257,[],"bars,tradamerican,pizza",R7peDyHzKTGilwo_1fjt3g,Woody’s Grill and Tap,"Bars,American (Traditional),Pizza",$11-30,$11-30,,13,16,40,108,80,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,No,Yes,Free,,Casual,Casual,Average,,19.0,4.0,12.0,8.0,5.0,18.0,24.0,2.0,10.0,,3.0,30.0,3.0,,1.0,,
Shaking Crab - Cambridge,42.38729,-71.11839,False,2140.0,Cambridge,MA,$$,3.5,https://www.yelp.com/biz/shaking-crab-cambridge-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,85,['restaurant_reservation'],"seafood,cajun",HU2iYyCPkmP1gxuKYoiKNg,Shaking Crab - Cambridge,"Seafood,Cajun/Creole",$11-30,$11-30,,11,12,8,16,39,Yes,Full Bar,,No,,No,Yes,"Street, Private Lot",,Yes,Yes,Yes,Free,,"Hipster, Casual, Trendy",Casual,Average,,13.0,4.0,5.0,12.0,5.0,18.0,8.0,3.0,7.0,,1.0,16.0,2.0,1.0,,,1.0
Pho Basil,42.34576797,-71.08737183,False,2115.0,Boston,MA,$$,4.0,https://www.yelp.com/biz/pho-basil-boston?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1017,"['delivery', 'pickup']","vietnamese,thai,seafood",PSp0P_3zWIQabA5HAIJBMQ,Pho Basil,"Vietnamese,Thai,Seafood",$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,No,,No,,Casual,Casual,Average,,28.0,10.0,22.0,28.0,6.0,18.0,38.0,,14.0,1.0,5.0,31.0,7.0,,2.0,,
Cafe Mami,42.38743289,-71.11869726,False,2140.0,Cambridge,MA,$,4.0,https://www.yelp.com/biz/cafe-mami-cambridge-4?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,469,['delivery'],"japanese,salad,steak",zkUgoHp4cyCpOyrJKofX6A,Cafe Mami,"Japanese,Salad,Steakhouses",Under $10,Under $10,,0,0,0,0,0,No,No,,No,,Yes,No,"Street, Private Lot",,Yes,No,No,No,,Casual,Casual,Average,,13.0,4.0,6.0,12.0,5.0,19.0,8.0,3.0,6.0,,1.0,16.0,2.0,1.0,,,1.0
Summer Shack-Boston,42.347066999999996,-71.085658,False,2115.0,Boston,MA,$$,3.5,https://www.yelp.com/biz/summer-shack-boston-boston-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,776,"['delivery', 'pickup']","seafood,bars,tradamerican",I07zWZ_JGqVAp3ZPxIpDYg,Summer Shack-Boston,"Seafood,Bars,American (Traditional)",$11-30,$11-30,,62,97,160,242,216,Yes,Full Bar,,No,,,No,"Garage, Street, Validated",,Yes,Yes,,No,,Casual,Casual,Average,,38.0,15.0,31.0,48.0,7.0,16.0,43.0,,19.0,1.0,5.0,31.0,9.0,,2.0,,
Boston Shawarma,42.34111,-71.08778000000001,False,2115.0,Boston,MA,$,4.0,https://www.yelp.com/biz/boston-shawarma-boston-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,357,"['delivery', 'pickup']","mideastern,halal,mediterranean",rpIRK9g0uM7Mao5jB39m3w,Boston Shawarma,"Middle Eastern,Halal,Mediterranean",Under $10,Under $10,,24,21,38,95,179,Yes,No,,Yes,,Yes,No,Street,,Yes,No,No,No,,Casual,Casual,Average,,18.0,3.0,7.0,7.0,3.0,11.0,20.0,1.0,2.0,,3.0,22.0,,1.0,2.0,,
The Capital Grille,42.347811,-71.08511109,False,2115.0,Boston,MA,$$$$,4.5,https://www.yelp.com/biz/the-capital-grille-boston?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,830,[],"steak,seafood,wine_bars",XUepp8T9xSMBuvlEG_-DrQ,The Capital Grille,"Steakhouses,Seafood,Wine Bars",Above $61,Above $61,,20,25,78,215,493,Yes,Full Bar,,Yes,,,Yes,"Valet, Garage, Street",,No,Yes,,Free,,"Classy, Upscale",Dressy,Average,Background,38.0,16.0,36.0,57.0,7.0,16.0,42.0,,19.0,1.0,3.0,29.0,9.0,,2.0,,
Select Oyster Bar,42.34861,-71.08411,False,2115.0,Boston,MA,$$$,3.5,https://www.yelp.com/biz/select-oyster-bar-boston?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,293,[],"seafood,bars",ZAV8c9iGKV8zWHxOpTxdYQ,Select Oyster Bar,"Seafood,Bars",$31-60,$31-60,,29,30,38,88,109,Yes,Full Bar,,No,,No,Yes,Street,,No,Yes,Yes,No,,Trendy,Casual,Average,,32.0,16.0,41.0,60.0,6.0,15.0,44.0,,19.0,1.0,2.0,30.0,9.0,,1.0,,
Towne Stove and Spirits,42.3482841,-71.08347409999999,False,2115.0,Boston,MA,$$$,3.0,https://www.yelp.com/biz/towne-stove-and-spirits-boston?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,579,"['delivery', 'pickup']","newamerican,breakfast_brunch",JIBJ_1aH_gHgbLnAIX5hEw,Towne Stove and Spirits,"American (New),Breakfast & Brunch",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Validated,,Yes,Yes,Yes,Free,,Trendy,Dressy,Average,,33.0,16.0,40.0,60.0,6.0,14.0,46.0,,19.0,1.0,7.0,29.0,13.0,,1.0,,
Buk Kyung,42.37947570000001,-71.0955337,False,2143.0,Somerville,MA,$$,3.5,https://www.yelp.com/biz/buk-kyung-somerville?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,239,[],"korean,seafood",zL2-u9LuxmPzC9d5qnTkvQ,Buk Kyung,"Korean,Seafood",$11-30,$11-30,,0,0,0,0,0,Yes,No,,Yes,,,No,"Street, Private Lot",,Yes,Yes,,No,,Casual,Casual,Average,,7.0,2.0,12.0,10.0,1.0,34.0,8.0,,6.0,,2.0,14.0,1.0,,,,
The Independent,42.379665,-71.094874,False,2143.0,Somerville,MA,$$,3.5,https://www.yelp.com/biz/the-independent-somerville?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,399,[],"bars,newamerican",xXj6XsEvpRJ0hMHAh9N02A,The Independent,"Bars,American (New)",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Street,,Yes,Yes,Yes,Free,,Casual,Casual,Average,,7.0,2.0,12.0,10.0,1.0,34.0,9.0,,6.0,,2.0,15.0,1.0,,,,
Top of the Hub,42.34856613,-71.08228754,False,2199.0,Boston,MA,$$$,3.5,https://www.yelp.com/biz/top-of-the-hub-boston?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,2019,[],"newamerican,wine_bars",Ug6ngfzLT_cPzSttve1OzQ,Top of the Hub,"American (New),Wine Bars",$31-60,$31-60,,258,253,406,649,456,Yes,Full Bar,,No,,,No,Garage,,No,Yes,,Free,,"Classy, Upscale",Dressy,Average,Live,38.0,17.0,39.0,60.0,6.0,14.0,43.0,,20.0,1.0,6.0,30.0,14.0,,1.0,,
Canary Square,42.31977,-71.11197,False,2130.0,Jamaica Plain,MA,$$,3.0,https://www.yelp.com/biz/canary-square-jamaica-plain?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,527,[],"newamerican,breakfast_brunch,burgers",QvCYvbMNkRTe4UqVwmyb3w,Canary Square,"American (New),Breakfast & Brunch,Burgers",$11-30,$11-30,,63,108,113,148,96,Yes,Full Bar,,No,,No,Yes,Street,,Yes,Yes,Yes,Free,,Casual,Casual,Average,,7.0,2.0,5.0,9.0,2.0,13.0,1.0,3.0,1.0,,,8.0,,,1.0,,
Casa B Tapas and Cocktail & Rum Bar,42.3797093,-71.0942732,False,2143.0,Somerville,MA,$$$,4.0,https://www.yelp.com/biz/casa-b-tapas-and-cocktail-and-rum-bar-somerville-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,258,[],"caribbean,tapasmallplates,cocktailbars",1A9alCsYB5Z5PW3yvH1HnQ,Casa B Tapas and Cocktail & Rum Bar,"Caribbean,Tapas/Small Plates,Cocktail Bars",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Street,,No,Yes,,No,,,Casual,Average,,7.0,2.0,11.0,8.0,1.0,34.0,9.0,,6.0,,2.0,15.0,1.0,,,,
Piattini,42.34969,-71.08122,False,2116.0,Boston,MA,$$,4.0,https://www.yelp.com/biz/piattini-boston-3?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,740,[],"italian,bars,salad",PUZSvR-nEHlhEi0gSADu7w,Piattini,"Italian,Bars,Salad",$11-30,$11-30,,51,50,103,265,271,Yes,Full Bar,,No,,,Yes,Street,,Yes,Yes,,No,,Intimate,Casual,Average,,40.0,21.0,39.0,60.0,5.0,14.0,39.0,,24.0,1.0,6.0,33.0,15.0,,1.0,,
The Cheesecake Factory,42.345867999999996,-71.08199300000001,False,2199.0,Boston,MA,$$,3.0,https://www.yelp.com/biz/the-cheesecake-factory-boston?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,602,['delivery'],"newamerican,desserts",V5r0E89VSK0IDzZRvrhc3g,The Cheesecake Factory,"American (New),Desserts",$11-30,$11-30,,96,86,144,164,112,Yes,Full Bar,,Yes,,,Yes,Garage,,Yes,Yes,,No,,Casual,Casual,Average,,38.0,16.0,38.0,60.0,6.0,13.0,50.0,,17.0,1.0,9.0,22.0,14.0,,2.0,,
Atlantic Fish,42.34922179,-71.08112729,False,2116.0,Boston,MA,$$$,4.0,https://www.yelp.com/biz/atlantic-fish-boston-3?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,2251,['delivery'],"seafood,raw_food,cocktailbars",AGR_kBvN__I7aTl0rBywAg,Atlantic Fish,"Seafood,Live/Raw Food,Cocktail Bars",$31-60,$31-60,,79,130,268,752,1025,Yes,Full Bar,,No,,No,Yes,"Valet, Street",,Yes,Yes,Yes,Free,,Classy,Casual,Average,,43.0,23.0,39.0,60.0,5.0,16.0,43.0,,23.0,1.0,6.0,34.0,14.0,1.0,1.0,,1.0
Demos,42.3663721,-71.18216729999999,False,2472.0,Watertown,MA,$,3.5,https://www.yelp.com/biz/demos-watertown?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,94,['delivery'],"mediterranean,greek",0ulC3Jz1eXnJJ3v2kN5Xpg,Demos,"Mediterranean,Greek",Under $10,Under $10,,6,19,13,34,22,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,No,,No,,Casual,Casual,Average,,13.0,9.0,3.0,18.0,1.0,16.0,4.0,1.0,6.0,,5.0,14.0,,,,,
Lucca Back Bay,42.3465561,-71.07992809999999,False,2116.0,Boston,MA,$$$,4.0,https://www.yelp.com/biz/lucca-back-bay-boston?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,300,[],"italian,wine_bars",4RpdVZIR3dV890pJ5hQd9A,Lucca Back Bay,"Italian,Wine Bars",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,"Valet, Garage",,Yes,Yes,,No,,Romantic,Dressy,Average,Juke Box,42.0,18.0,39.0,60.0,3.0,17.0,40.0,,17.0,1.0,7.0,25.0,13.0,1.0,1.0,,1.0
SRV Boston,42.340918,-71.08161505,False,2118.0,Boston,MA,$$$,4.5,https://www.yelp.com/biz/srv-boston-boston?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,306,[],"italian,wine_bars",poswq7BdLM9Iryd9palDVQ,SRV Boston,"Italian,Wine Bars",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Street,,No,Yes,,No,,Trendy,Dressy,Average,,10.0,2.0,11.0,24.0,,25.0,15.0,4.0,3.0,,4.0,16.0,,1.0,2.0,,
Lemon Thai Cuisine,42.39025,-71.10767,False,2143.0,Somerville,MA,$$,4.0,https://www.yelp.com/biz/lemon-thai-cuisine-somerville-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,296,"['delivery', 'pickup']","thai,seafood,soup",4k_wbk7GppLxBhfga3Fdjw,Lemon Thai Cuisine,"Thai,Seafood,Soup",$11-30,$11-30,,0,0,0,0,0,Yes,No,,No,,,No,Street,,Yes,No,,No,,Casual,Casual,Average,,2.0,1.0,1.0,6.0,1.0,13.0,3.0,,2.0,,1.0,7.0,,,,,
Social Restaurant & Bar,42.356596,-71.18682679999999,False,2458.0,Newton,MA,$$,3.5,https://www.yelp.com/biz/social-restaurant-and-bar-newton?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,150,[],"newamerican,bars,breakfast_brunch",DrQgIMe9fKfNvvHoXO8Y0w,Social Restaurant & Bar,"American (New),Bars,Breakfast & Brunch",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,No,No,"Garage, Street, Validated",,Yes,Yes,Yes,Free,,Casual,Casual,Average,Live,5.0,1.0,2.0,5.0,1.0,15.0,3.0,5.0,6.0,,,6.0,,,,,
Max and Leo's,42.3569993,-71.1868365,False,2458.0,Newton,MA,$$,4.5,https://www.yelp.com/biz/max-and-leos-newton?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,337,[],"pizza,bars",3ysQylsFQj7JNIlQjncQeQ,Max and Leo’s,"Pizza,Bars",$11-30,$11-30,,8,16,19,98,196,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,No,,No,,Casual,Casual,Average,,5.0,1.0,2.0,5.0,1.0,15.0,3.0,5.0,6.0,,,6.0,,,,,
